date,index
01/02/1996,63.87
01/03/1996,63.47
01/04/1996,61.49
01/05/1996,63.29
01/06/1996,64.46
01/07/1996,61.57
01/08/1996,60.29
01/09/1996,60.6
01/10/1996,60.02
01/11/1996,58.84
01/12/1996,59.44
01/01/1997,60.28
01/02/1997,64.97
01/03/1997,69.8
01/04/1997,72.65
01/05/1997,72.13
01/06/1997,73.23
01/07/1997,71.36
01/08/1997,72.12
01/09/1997,74.56
01/10/1997,71.99
01/11/1997,69.26
01/12/1997,67.73
01/01/1998,69.13
01/02/1998,68.98
01/03/1998,68.49
01/04/1998,67.44
01/05/1998,67.86
01/06/1998,64.84
01/07/1998,63.65
01/08/1998,62.31
01/09/1998,61.1
01/10/1998,56.93
01/11/1998,52.93
01/12/1998,55.95
01/01/1999,54.17
01/02/1999,55.04
01/03/1999,55.83
01/04/1999,57.19
01/05/1999,58.79
01/06/1999,59.89
01/07/1999,61.3
01/08/1999,61.83
01/09/1999,60.54
01/10/1999,62.23
01/11/1999,60.76
01/12/1999,64.78
01/01/2000,67.71
01/02/2000,69.28
01/03/2000,71.54
01/04/2000,71.82
01/05/2000,72.37
01/06/2000,75.1
01/07/2000,70.33
01/08/2000,70.44
01/09/2000,72.29
01/10/2000,76.78
01/11/2000,76.31
01/12/2000,75.48
01/01/2001,73.39
01/02/2001,71.05
01/03/2001,71.9
01/04/2001,70.67
01/05/2001,71.54
01/06/2001,74.7
01/07/2001,73.73
01/08/2001,72
01/09/2001,67.63
01/10/2001,63.86
01/11/2001,61.3
01/12/2001,64.02
01/01/2002,64.54
01/02/2002,65.9
01/03/2002,67.96
01/04/2002,69.73
01/05/2002,68.12
01/06/2002,66.24
01/07/2002,64.55
01/08/2002,62.56
01/09/2002,62.39
01/10/2002,63.33
01/11/2002,64.33
01/12/2002,63.13
01/01/2003,63.15
01/02/2003,61.27
01/03/2003,61.73
01/04/2003,60.59
01/05/2003,59.41
01/06/2003,55.8
01/07/2003,55.32
01/08/2003,56.38
01/09/2003,58.95
01/10/2003,59.98
01/11/2003,59.53
01/12/2003,61.29
01/01/2004,59.83
01/02/2004,61.46
01/03/2004,63.91
01/04/2004,67.33
01/05/2004,69.08
01/06/2004,66.83
01/07/2004,66.14
01/08/2004,65.97
01/09/2004,66.1
01/10/2004,65.4
01/11/2004,63.36
01/12/2004,62.21
01/01/2005,61.08
01/02/2005,64.89
01/03/2005,68.6
01/04/2005,70.07
01/05/2005,68.64
01/06/2005,67.71
01/07/2005,69.27
01/08/2005,69.18
01/09/2005,67.92
01/10/2005,69.04
01/11/2005,70.77
01/12/2005,73.73
01/01/2006,76.65
01/02/2006,78.4
01/03/2006,81.49
01/04/2006,80.69
01/05/2006,83.2
01/06/2006,85.94
01/07/2006,81.07
01/08/2006,83.18
01/09/2006,82.91
01/10/2006,83.12
01/11/2006,86.93
01/12/2006,87.24
01/01/2007,86.81
01/02/2007,88.17
01/03/2007,90.14
01/04/2007,90.45
01/05/2007,91.88
01/06/2007,93.74
01/07/2007,93.25
01/08/2007,91.23
01/09/2007,89.44
01/10/2007,90.39
01/11/2007,91.7
01/12/2007,90.87
01/01/2008,90.33
01/02/2008,93.49
01/03/2008,100.41
01/04/2008,100.73
01/05/2008,97.77
01/06/2008,98.18
01/07/2008,99.2
01/08/2008,96.9
01/09/2008,94.99
01/10/2008,89.49
01/11/2008,77.65
01/12/2008,73.15
01/01/2009,65.11
01/02/2009,68.38
01/03/2009,70.43
01/04/2009,68.16
01/05/2009,70.03
01/06/2009,70.46
01/07/2009,71.38
01/08/2009,71.21
01/09/2009,76.05
01/10/2009,72.44
01/11/2009,73.78
01/12/2009,76.82
01/01/2010,81.56
01/02/2010,86.64
01/03/2010,87.97
01/04/2010,92.79
01/05/2010,99.56
01/06/2010,101.64
01/07/2010,102.06
01/08/2010,98.71
01/09/2010,102.67
01/10/2010,103.55
01/11/2010,102.05
01/12/2010,106.9
01/01/2011,115.47
01/02/2011,120.22
01/03/2011,123.25
01/04/2011,117.33
01/05/2011,116.56
01/06/2011,113.76
01/07/2011,110.88
01/08/2011,112.13
01/09/2011,109.73
01/10/2011,111.08
01/11/2011,103.51
01/12/2011,102.3
01/01/2012,102.87
01/02/2012,107.76
01/03/2012,108.35
01/04/2012,108.73
01/05/2012,107.61
01/06/2012,107.48
01/07/2012,105.86
01/08/2012,111.77
01/09/2012,108.28
01/10/2012,106.6
01/11/2012,104.84
01/12/2012,104.78
01/01/2013,104.16
01/02/2013,104.7
01/03/2013,104.84
01/04/2013,104.76
01/05/2013,101.51
01/06/2013,99.27
01/07/2013,95.42
01/08/2013,95.69
01/09/2013,94.91
01/10/2013,94.61
01/11/2013,93.24
01/12/2013,94.33
01/01/2014,93.41
01/02/2014,93.24
01/03/2014,93.71
01/04/2014,95.1
01/05/2014,95.47
01/06/2014,94.49
01/07/2014,93.47
01/08/2014,94.64
01/09/2014,96.23
01/10/2014,96.68
01/11/2014,97.52
01/12/2014,98.66
01/01/2015,97.61
01/02/2015,100.38
01/03/2015,100.6
01/04/2015,102.44
01/05/2015,102.07
01/06/2015,98.98
01/07/2015,97.42
01/08/2015,96.94
01/09/2015,92.5
01/10/2015,91.07
01/11/2015,90.71
01/12/2015,91.77
01/01/2016,89.27
01/02/2016,88.2
01/03/2016,88.56
01/04/2016,91.81
01/05/2016,91.88
01/06/2016,92.29
01/07/2016,94.07
01/08/2016,96.3
01/09/2016,94.88
01/10/2016,93.64
01/11/2016,95.33
01/12/2016,101
01/01/2017,104.21
01/02/2017,105.63
01/03/2017,107.54
01/04/2017,106.2
01/05/2017,103.27
01/06/2017,99.39
01/07/2017,96.98
01/08/2017,97.13
01/09/2017,96
01/10/2017,95.3
01/11/2017,96.22
01/12/2017,96.84
01/01/2018,95.98
01/02/2018,96.68
01/03/2018,97.59
01/04/2018,96.86
01/05/2018,99.19
01/06/2018,104.3
01/07/2018,103.19
01/08/2018,99.09
01/09/2018,98.65
01/10/2018,95.97
01/11/2018,98.7
01/12/2018,98.88
01/01/2019,98.01
01/02/2019,98.39
01/03/2019,101.25
01/04/2019,100.94
01/05/2019,101.47
01/06/2019,99.82
01/07/2019,100.63
01/08/2019,102.16
01/09/2019,98.12
01/10/2019,100.22
01/11/2019,100
01/12/2019,102.86
01/01/2020,104.6
01/02/2020,105.41
01/03/2020,103.83
01/04/2020,98.05
01/05/2020,97
01/06/2020,98.75
01/07/2020,98.7
01/08/2020,100.05
01/09/2020,102.54
01/10/2020,103.59
01/11/2020,102.52
01/12/2020,106.27
01/01/2021,111.22
01/02/2021,116.45
01/03/2021,121.2
01/04/2021,125.8
01/05/2021,131.32
01/06/2021,139.4
01/07/2021,136.41
01/08/2021,136.59
01/09/2021,133.23
01/10/2021,131.4
01/11/2021,136.7
01/12/2021,137.96
