date,s1
01/05/1986,53.37
01/06/1986,53.07
01/07/1986,53.61
01/08/1986,51.1
01/09/1986,50.13
01/10/1986,51.48
01/11/1986,51.24
01/12/1986,50.95
01/01/1987,50.64
01/02/1987,49.36
01/03/1987,50.73
01/04/1987,52
01/05/1987,52.94
01/06/1987,53.65
01/07/1987,55.26
01/08/1987,58.35
01/09/1987,61.15
01/10/1987,59.33
01/11/1987,61.66
01/12/1987,56.27
01/01/1988,57.65
01/02/1988,59.86
01/03/1988,62.46
01/04/1988,68.91
01/05/1988,70.7
01/06/1988,76.13
01/07/1988,85.2
01/08/1988,76.85
01/09/1988,79.31
01/10/1988,74.14
01/11/1988,73.44
01/12/1988,73.39
01/01/1989,76.62
01/02/1989,78.79
01/03/1989,78.04
01/04/1989,76.82
01/05/1989,77.12
01/06/1989,80.1
01/07/1989,75.98
01/08/1989,73.79
01/09/1989,75.73
01/10/1989,74.75
01/11/1989,73.68
01/12/1989,71.23
01/01/1990,67.61
01/02/1990,62.26
01/03/1990,60.58
01/04/1990,63.87
01/05/1990,63.13
01/06/1990,62.76
01/07/1990,63.25
01/08/1990,60.85
01/09/1990,60.67
01/10/1990,63.06
01/11/1990,58.57
01/12/1990,52.76
01/01/1991,51.65
01/02/1991,51.2
01/03/1991,50.26
01/04/1991,54.38
01/05/1991,56.04
01/06/1991,55.48
01/07/1991,56.89
01/08/1991,56.42
01/09/1991,53.42
01/10/1991,50.74
01/11/1991,48.65
01/12/1991,46.96
01/01/1992,45.22
01/02/1992,46.15
01/03/1992,48.55
01/04/1992,50.13
01/05/1992,51.32
01/06/1992,50.32
01/07/1992,49.44
01/08/1992,47.91
01/09/1992,46.69
01/10/1992,46.94
01/11/1992,46.22
01/12/1992,47.82
01/01/1993,48.36
01/02/1993,48.91
01/03/1993,51.34
01/04/1993,51.88
01/05/1993,48.14
01/06/1993,46.46
01/07/1993,47.16
01/08/1993,48.91
01/09/1993,49.32
01/10/1993,47.11
01/11/1993,47.16
01/12/1993,49.35
01/01/1994,51.7
01/02/1994,54.1
01/03/1994,56.18
01/04/1994,55.31
01/05/1994,55.27
01/06/1994,56.3
01/07/1994,57.23
01/08/1994,56.65
01/09/1994,56.07
01/10/1994,57.55
01/11/1994,59.71
01/12/1994,63.79
01/01/1995,65.27
01/02/1995,67.43
01/03/1995,65.82
01/04/1995,62.92
01/05/1995,62.52
01/06/1995,61.79
01/07/1995,61.44
01/08/1995,61.95
01/09/1995,63.88
01/10/1995,63.32
01/11/1995,62.15
01/12/1995,62.31
01/01/1996,61.84
01/02/1996,60.2
01/03/1996,57.13
01/04/1996,54.83
01/05/1996,54.64
01/06/1996,56.23
01/07/1996,53.93
01/08/1996,53.33
01/09/1996,54
01/10/1996,53.9
01/11/1996,53.23
01/12/1996,54.54
01/01/1997,55.29
01/02/1997,58.83
01/03/1997,61.46
01/04/1997,62.5
01/05/1997,61.64
01/06/1997,61.97
01/07/1997,61.6
01/08/1997,63.19
01/09/1997,67.23
01/10/1997,63.94
01/11/1997,61.9
01/12/1997,59.95
01/01/1998,59.88
01/02/1998,59.08
