date,FEDFUNDS,rate
01/01/1986,8.14,0.678333333
01/02/1986,7.86,0.655
01/03/1986,7.48,0.623333333
01/04/1986,6.99,0.5825
01/05/1986,6.85,0.570833333
01/06/1986,6.92,0.576666667
01/07/1986,6.56,0.546666667
01/08/1986,6.17,0.514166667
01/09/1986,5.89,0.490833333
01/10/1986,5.85,0.4875
01/11/1986,6.04,0.503333333
01/12/1986,6.91,0.575833333
01/01/1987,6.43,0.535833333
01/02/1987,6.1,0.508333333
01/03/1987,6.13,0.510833333
01/04/1987,6.37,0.530833333
01/05/1987,6.85,0.570833333
01/06/1987,6.73,0.560833333
01/07/1987,6.58,0.548333333
01/08/1987,6.73,0.560833333
01/09/1987,7.22,0.601666667
01/10/1987,7.29,0.6075
01/11/1987,6.69,0.5575
01/12/1987,6.77,0.564166667
01/01/1988,6.83,0.569166667
01/02/1988,6.58,0.548333333
01/03/1988,6.58,0.548333333
01/04/1988,6.87,0.5725
01/05/1988,7.09,0.590833333
01/06/1988,7.51,0.625833333
01/07/1988,7.75,0.645833333
01/08/1988,8.01,0.6675
01/09/1988,8.19,0.6825
01/10/1988,8.3,0.691666667
01/11/1988,8.35,0.695833333
01/12/1988,8.76,0.73
01/01/1989,9.12,0.76
01/02/1989,9.36,0.78
01/03/1989,9.85,0.820833333
01/04/1989,9.84,0.82
01/05/1989,9.81,0.8175
01/06/1989,9.53,0.794166667
01/07/1989,9.24,0.77
01/08/1989,8.99,0.749166667
01/09/1989,9.02,0.751666667
01/10/1989,8.84,0.736666667
01/11/1989,8.55,0.7125
01/12/1989,8.45,0.704166667
01/01/1990,8.23,0.685833333
01/02/1990,8.24,0.686666667
01/03/1990,8.28,0.69
01/04/1990,8.26,0.688333333
01/05/1990,8.18,0.681666667
01/06/1990,8.29,0.690833333
01/07/1990,8.15,0.679166667
01/08/1990,8.13,0.6775
01/09/1990,8.2,0.683333333
01/10/1990,8.11,0.675833333
01/11/1990,7.81,0.650833333
01/12/1990,7.31,0.609166667
01/01/1991,6.91,0.575833333
01/02/1991,6.25,0.520833333
01/03/1991,6.12,0.51
01/04/1991,5.91,0.4925
01/05/1991,5.78,0.481666667
01/06/1991,5.9,0.491666667
01/07/1991,5.82,0.485
01/08/1991,5.66,0.471666667
01/09/1991,5.45,0.454166667
01/10/1991,5.21,0.434166667
01/11/1991,4.81,0.400833333
01/12/1991,4.43,0.369166667
01/01/1992,4.03,0.335833333
01/02/1992,4.06,0.338333333
01/03/1992,3.98,0.331666667
01/04/1992,3.73,0.310833333
01/05/1992,3.82,0.318333333
01/06/1992,3.76,0.313333333
01/07/1992,3.25,0.270833333
01/08/1992,3.3,0.275
01/09/1992,3.22,0.268333333
01/10/1992,3.1,0.258333333
01/11/1992,3.09,0.2575
01/12/1992,2.92,0.243333333
01/01/1993,3.02,0.251666667
01/02/1993,3.03,0.2525
01/03/1993,3.07,0.255833333
01/04/1993,2.96,0.246666667
01/05/1993,3,0.25
01/06/1993,3.04,0.253333333
01/07/1993,3.06,0.255
01/08/1993,3.03,0.2525
01/09/1993,3.09,0.2575
01/10/1993,2.99,0.249166667
01/11/1993,3.02,0.251666667
01/12/1993,2.96,0.246666667
01/01/1994,3.05,0.254166667
01/02/1994,3.25,0.270833333
01/03/1994,3.34,0.278333333
01/04/1994,3.56,0.296666667
01/05/1994,4.01,0.334166667
01/06/1994,4.25,0.354166667
01/07/1994,4.26,0.355
01/08/1994,4.47,0.3725
01/09/1994,4.73,0.394166667
01/10/1994,4.76,0.396666667
01/11/1994,5.29,0.440833333
01/12/1994,5.45,0.454166667
01/01/1995,5.53,0.460833333
01/02/1995,5.92,0.493333333
01/03/1995,5.98,0.498333333
01/04/1995,6.05,0.504166667
01/05/1995,6.01,0.500833333
01/06/1995,6,0.5
01/07/1995,5.85,0.4875
01/08/1995,5.74,0.478333333
01/09/1995,5.8,0.483333333
01/10/1995,5.76,0.48
01/11/1995,5.8,0.483333333
01/12/1995,5.6,0.466666667
01/01/1996,5.56,0.463333333
01/02/1996,5.22,0.435
01/03/1996,5.31,0.4425
01/04/1996,5.22,0.435
01/05/1996,5.24,0.436666667
01/06/1996,5.27,0.439166667
01/07/1996,5.4,0.45
01/08/1996,5.22,0.435
01/09/1996,5.3,0.441666667
01/10/1996,5.24,0.436666667
01/11/1996,5.31,0.4425
01/12/1996,5.29,0.440833333
01/01/1997,5.25,0.4375
01/02/1997,5.19,0.4325
01/03/1997,5.39,0.449166667
01/04/1997,5.51,0.459166667
01/05/1997,5.5,0.458333333
01/06/1997,5.56,0.463333333
01/07/1997,5.52,0.46
01/08/1997,5.54,0.461666667
01/09/1997,5.54,0.461666667
01/10/1997,5.5,0.458333333
01/11/1997,5.52,0.46
01/12/1997,5.5,0.458333333
01/01/1998,5.56,0.463333333
01/02/1998,5.51,0.459166667
01/03/1998,5.49,0.4575
01/04/1998,5.45,0.454166667
01/05/1998,5.49,0.4575
01/06/1998,5.56,0.463333333
01/07/1998,5.54,0.461666667
01/08/1998,5.55,0.4625
