date,real,CPI,index
01/12/2021,228.0497,117.5764754,228.0497
01/11/2021,280.8125173,117.2692254,280.0787
01/10/2021,262.8794195,116.6958488,260.9105
01/09/2021,238.8844868,115.7343144,235.1417
01/08/2021,251.6759123,115.4208348,247.0617
01/07/2021,247.8459989,115.1828772,242.8004
01/06/2021,227.768199,114.6314399,222.0631
01/05/2021,221.1643419,113.5762414,213.6398
01/04/2021,208.0041445,112.6729306,199.3293
01/03/2021,216.9420372,111.7544311,206.1997
01/02/2021,186.0733428,110.9684115,175.6156
01/01/2021,174.9582886,110.3642355,164.2262
01/12/2020,164.7206207,109.8967585,153.9616
01/11/2020,135.1451607,109.7933903,126.1991
01/10/2020,145.7049428,109.8604741,136.143
01/09/2020,154.8279463,109.8149078,144.6073
01/08/2020,145.9324979,109.6621761,136.1095
01/07/2020,141.9717106,109.3174751,131.9991
01/06/2020,129.8651771,108.7673036,120.1353
01/05/2020,91.82618557,108.1753629,84.484
01/04/2020,89.1964163,108.1732534,82.0629
01/03/2020,167.0362343,108.9014712,154.712
01/02/2020,188.3883364,109.1390069,174.8693
01/01/2020,223.2174267,108.8407161,206.6327
01/12/2019,206.1328333,108.4200711,190.08
01/11/2019,204.6739604,108.5187982,188.9066
01/10/2019,203.4932317,108.5770219,187.9176
01/09/2019,203.7535399,108.3293603,187.7288
01/08/2019,220.5036379,108.2445563,203.0025
01/07/2019,220.1376182,108.2500411,202.6758
01/06/2019,207.8723675,108.0694634,191.0642
01/05/2019,241.6777348,108.0479459,222.0919
01/04/2019,228.4779152,107.8184265,209.5158
01/03/2019,224.1407551,107.2505348,204.456
01/02/2019,208.3742518,106.6488902,189.0079
01/01/2019,184.2481335,106.1999772,166.4206
01/12/2018,209.6085474,105.997882,188.9669
01/11/2018,254.6333081,106.3375201,230.2933
01/10/2018,278.3091626,106.6948784,252.5519
01/09/2018,264.8130195,106.5067063,239.881
01/08/2018,258.1186321,106.3830864,233.5455
01/07/2018,274.7057457,106.324019,248.4155
01/06/2018,261.7752209,106.3168465,236.7065
01/05/2018,259.1587742,106.1476603,233.9677
01/04/2018,245.4366531,105.7080294,220.6617
01/03/2018,232.7302898,105.289494,208.4095
01/02/2018,246.2131971,105.0519583,219.986
01/01/2018,236.6791155,104.5777307,210.5129
01/12/2017,225.1430504,104.0111047,199.1672
01/11/2017,217.3808847,104.0722817,192.4137
01/10/2017,206.8287804,104.0697503,183.0691
01/09/2017,195.40565,104.1355683,173.0676
01/08/2017,197.70055,103.5870845,174.1779
01/07/2017,183.2503497,103.277824,160.965
01/06/2017,190.5629856,103.3491269,167.5039
01/05/2017,194.3742056,103.2554627,170.6991
01/04/2017,200.539327,103.1672834,175.9629
01/03/2017,209.7592445,102.8622419,183.5087
01/02/2017,206.7380405,102.7787036,180.7187
01/01/2017,215.0952394,102.4563639,187.4344
01/12/2016,197.0586981,101.8627356,170.7224
01/11/2016,186.3421949,101.8294046,161.3853
01/10/2016,190.5372623,101.9880431,165.2756
01/09/2016,177.960311,101.8610479,154.1739
01/08/2016,166.801349,101.6167617,144.1599
01/07/2016,190.9000769,101.5235194,164.8361
01/06/2016,190.947414,101.6880646,165.1442
01/05/2016,180.6666605,101.3551771,155.7412
01/04/2016,154.9008726,100.9467675,132.9921
01/03/2016,139.8098489,100.4704304,119.4691
01/02/2016,139.021727,100.0396596,118.2863
01/01/2016,149.1066536,99.95738702,126.7627
01/12/2015,171.8338694,99.79241995,145.8431
01/11/2015,188.7162124,100.1345895,160.7211
01/10/2015,186.0079913,100.3463887,158.7497
01/09/2015,203.9710469,100.3915331,174.1587
