date,production
01/10/2021,78909.18945
01/09/2021,77584.52258
01/08/2021,77255.395
01/07/2021,77678.00421
01/06/2021,76501.77551
01/05/2021,75911.70283
01/04/2021,75380.29311
01/03/2021,75835.11459
01/02/2021,73856.89513
01/01/2021,76012.57099
01/12/2020,75492.6555
01/11/2020,74996.08101
01/10/2020,73133.64749
01/09/2020,72620.75372
01/08/2020,72724.47044
01/07/2020,71613.04595
01/06/2020,70277.3245
01/05/2020,71379.59363
01/04/2020,82580.03096
01/03/2020,82312.50828
01/02/2020,82123.55404
01/01/2020,83029.6674
01/12/2019,83331.18114
01/11/2019,83390.30897
01/10/2019,82474.78301
01/09/2019,80628.74575
01/08/2019,82301.20321
01/07/2019,81234.65427
01/06/2019,81728.82302
01/05/2019,81535.63845
01/04/2019,82089.74364
01/03/2019,82297.84004
01/02/2019,82371.98932
01/01/2019,82619.58585
01/12/2018,84184.60132
01/11/2018,84501.6026
01/10/2018,84364.93149
01/09/2018,83259.41816
01/08/2018,83287.58242
01/07/2018,82817.70378
01/06/2018,82278.87413
01/05/2018,81829.86284
01/04/2018,82009.86321
01/03/2018,82324.76108
01/02/2018,82328.08278
01/01/2018,82203.47048
01/12/2017,81599.74412
01/11/2017,82083.04833
01/10/2017,81504.60124
01/09/2017,81328.52594
01/08/2017,81179.56922
01/07/2017,81687.88327
01/06/2017,81295.02634
01/05/2017,80762.17528
01/04/2017,80164.41563
01/03/2017,80606.91169
01/02/2017,81081.88433
01/01/2017,81287.14071
01/12/2016,82104.631
01/11/2016,82656.178
01/10/2016,81657.065
01/09/2016,80499.691
01/08/2016,80140.991
01/07/2016,80710.465
01/06/2016,79952.071
01/05/2016,79239.009
01/04/2016,80030.962
01/03/2016,80805.948
01/02/2016,80920.286
01/01/2016,81664.853
01/12/2015,81726.528
01/11/2015,81545.41
01/10/2015,80871.709
01/09/2015,80921.115
01/08/2015,81028.64
01/07/2015,81290.359
01/06/2015,80775.606
01/05/2015,80320.776
01/04/2015,80410.806
01/03/2015,80780.952
01/02/2015,79864.719
01/01/2015,79964.556
01/12/2014,80693.818
01/11/2014,79793.706
01/10/2014,79997.89
01/09/2014,79045.757
01/08/2014,78287.495
01/07/2014,78007.049
01/06/2014,77791.189
01/05/2014,77415.357
01/04/2014,77191.155
01/03/2014,77450.144
01/02/2014,78037.218
01/01/2014,77554.867
01/12/2013,77314.29
01/11/2013,76919.803
01/10/2013,76611.477
01/09/2013,76345.697
01/08/2013,76812.507
01/07/2013,77048.914
01/06/2013,76533.077
01/05/2013,76440.208
01/04/2013,76563.225
01/03/2013,76194.363
01/02/2013,75975.963
01/01/2013,76185.289
01/12/2012,76808.728
01/11/2012,76923.336
01/10/2012,76390.011
01/09/2012,75789.926
01/08/2012,76331.471
01/07/2012,76345.978
01/06/2012,76136.68
01/05/2012,76330.143
01/04/2012,77039.06
01/03/2012,76704.817
01/02/2012,76801.996
01/01/2012,76541.346
01/12/2011,76349.414
01/11/2011,75973.048
01/10/2011,74973.382
01/09/2011,74443.722
01/08/2011,75106.339
01/07/2011,74676.026
01/06/2011,74255.72
01/05/2011,73458.047
01/04/2011,74088.859
01/03/2011,74242.738
01/02/2011,75282.319
01/01/2011,75708.6
01/12/2010,74934.749
01/11/2010,74845.925
01/10/2010,74515.525
01/09/2010,74176.281
01/08/2010,73852.211
01/07/2010,73975.532
01/06/2010,73728.314
01/05/2010,74093.718
01/04/2010,74044.889
01/03/2010,74303.486
01/02/2010,74063.582
01/01/2010,73731.066
01/12/2009,73688.743
01/11/2009,73988.447
01/10/2009,73889.053
01/09/2009,73458.1
01/08/2009,73008.63
01/07/2009,73526.593
01/06/2009,72629.336
01/05/2009,72471.435
01/04/2009,72886.515
01/03/2009,72657.102
01/02/2009,72845.334
01/01/2009,72357.556
01/12/2008,73282.022
01/11/2008,74050.274
01/10/2008,74217.454
01/09/2008,73217.785
