date,contract_1,CPI,contract_1_nom
01/12/2021,2.118,117.5764754,2.118
01/11/2021,2.259,117.2692254,2.253
01/10/2021,2.400,116.6958488,2.382
01/09/2021,2.086,115.7343144,2.053
01/08/2021,1.908,115.4208348,1.873
01/07/2021,1.987,115.1828772,1.947
01/06/2021,1.960,114.6314399,1.911
01/05/2021,1.899,113.5762414,1.834
01/04/2021,1.778,112.6729306,1.704
01/03/2021,1.793,111.7544311,1.704
01/02/2021,1.769,110.9684115,1.67
01/01/2021,1.574,110.3642355,1.477
01/12/2020,1.461,109.8967585,1.366
01/11/2020,1.242,109.7933903,1.16
01/10/2020,1.176,109.8604741,1.099
01/09/2020,1.145,109.8149078,1.069
01/08/2020,1.265,109.6621761,1.18
01/07/2020,1.277,109.3174751,1.187
01/06/2020,1.160,108.7673036,1.073
01/05/2020,0.916,108.1753629,0.843
01/04/2020,0.926,108.1732534,0.852
01/03/2020,1.248,108.9014712,1.156
01/02/2020,1.712,109.1390069,1.589
01/01/2020,1.976,108.8407161,1.829
01/12/2019,2.132,108.4200711,1.966
01/11/2019,2.075,108.5187982,1.915
01/10/2019,2.079,108.5770219,1.92
01/09/2019,2.083,108.3293603,1.919
01/08/2019,1.950,108.2445563,1.795
01/07/2019,2.051,108.2500411,1.888
01/06/2019,1.980,108.0694634,1.82
01/05/2019,2.183,108.0479459,2.006
01/04/2019,2.220,107.8184265,2.036
01/03/2019,2.154,107.2505348,1.965
01/02/2019,2.129,106.6488902,1.931
01/01/2019,2.014,106.1999772,1.819
01/12/2018,1.979,105.997882,1.784
01/11/2018,2.248,106.3375201,2.033
01/10/2018,2.549,106.6948784,2.313
01/09/2018,2.456,106.5067063,2.225
01/08/2018,2.349,106.3830864,2.125
01/07/2018,2.331,106.324019,2.108
01/06/2018,2.336,106.3168465,2.112
01/05/2018,2.422,106.1476603,2.187
01/04/2018,2.266,105.7080294,2.037
01/03/2018,2.093,105.289494,1.874
01/02/2018,2.074,105.0519583,1.853
01/01/2018,2.268,104.5777307,2.017
01/12/2017,2.106,104.0111047,1.863
01/11/2017,2.060,104.0722817,1.823
01/10/2017,1.929,104.0697503,1.707
01/09/2017,1.928,104.1355683,1.708
01/08/2017,1.724,103.5870845,1.519
01/07/2017,1.620,103.277824,1.423
01/06/2017,1.515,103.3491269,1.332
01/05/2017,1.656,103.2554627,1.454
01/04/2017,1.736,103.1672834,1.523
01/03/2017,1.705,102.8622419,1.492
01/02/2017,1.787,102.7787036,1.562
01/01/2017,1.780,102.4563639,1.551
01/12/2016,1.793,101.8627356,1.553
01/11/2016,1.605,101.8294046,1.39
01/10/2016,1.715,101.9880431,1.488
01/09/2016,1.559,101.8610479,1.351
01/08/2016,1.533,101.6167617,1.325
01/07/2016,1.496,101.5235194,1.292
01/06/2016,1.637,101.6880646,1.416
01/05/2016,1.573,101.3551771,1.356
01/04/2016,1.384,100.9467675,1.188
01/03/2016,1.325,100.4704304,1.132
01/02/2016,1.142,100.0396596,0.972
01/01/2016,1.105,99.95738702,0.939
01/12/2015,1.222,99.79241995,1.037
01/11/2015,1.545,100.1345895,1.316
01/10/2015,1.645,100.3463887,1.404
01/09/2015,1.667,100.3915331,1.423
01/08/2015,1.622,100.548062,1.387
01/07/2015,1.818,100.6906678,1.557
01/06/2015,2.058,100.6839172,1.762
01/05/2015,2.147,100.3324656,1.832
01/04/2015,2.028,99.82364134,1.722
01/03/2015,1.926,99.62112422,1.632
01/02/2015,2.224,99.03171502,1.873
01/01/2015,1.927,98.6034757,1.616
01/12/2014,2.203,99.06968698,1.856
01/11/2014,2.654,99.63462536,2.249
01/10/2014,2.845,100.1755148,2.424
01/09/2014,3.083,100.4278174,2.633
01/08/2014,3.226,100.3522954,2.753
01/07/2014,3.247,100.5202158,2.776
01/06/2014,3.370,100.5594535,2.882
01/05/2014,3.350,100.3725471,2.86
01/04/2014,3.395,100.0232051,2.888
01/03/2014,3.434,99.69453668,2.912
01/02/2014,3.633,99.05660775,3.061
01/01/2014,3.649,98.69165503,3.063
01/12/2013,3.626,98.32585848,3.032
01/11/2013,3.495,98.3342967,2.923
01/10/2013,3.508,98.53554808,2.94
01/09/2013,3.524,98.78996021,2.961
01/08/2013,3.525,98.67520051,2.958
01/07/2013,3.442,98.55664362,2.885
01/06/2013,3.284,98.51782784,2.752
01/05/2013,3.277,98.28197977,2.739
01/04/2013,3.286,98.10730876,2.742
01/03/2013,3.523,98.20941114,2.943
01/02/2013,3.803,97.95331137,3.168
01/01/2013,3.713,97.15758785,3.068
01/12/2012,3.635,96.87111051,2.995
01/11/2012,3.642,97.13269512,3.009
01/10/2012,3.783,97.59510921,3.14
01/09/2012,3.774,97.63308117,3.134
01/08/2012,3.683,97.19935701,3.045
01/07/2012,3.422,96.66142091,2.813
01/06/2012,3.180,96.8192155,2.619
01/05/2012,3.532,96.96139939,2.913
01/04/2012,3.815,97.07531527,3.15
01/03/2012,3.908,96.78293118,3.217
01/02/2012,3.912,96.05344764,3.196
01/01/2012,3.755,95.6323808,3.054
01/12/2011,3.570,95.21342351,2.891
01/11/2011,3.762,95.44884966,3.054
01/10/2011,3.635,95.5294346,2.953
01/09/2011,3.588,95.72688879,2.921
01/08/2011,3.624,95.58175152,2.946
01/07/2011,3.784,95.31890118,3.068
01/06/2011,3.663,95.23451904,2.967
01/05/2011,3.641,95.33662142,2.952
01/04/2011,3.960,94.89023994,3.196
01/03/2011,3.784,94.28311049,3.034
01/02/2011,3.488,93.37262728,2.77
01/01/2011,3.295,92.9144323,2.604
01/12/2010,3.138,92.47395756,2.468
01/11/2010,2.955,92.31531915,2.32
01/10/2010,2.857,92.27650337,2.242
