date,real,CPI,index
01/12/2021,726.53,117.5764754,726.53
01/11/2021,747.182532,117.2692254,745.23
01/10/2021,714.864204,116.6958488,709.51
01/09/2021,753.0689094,115.7343144,741.27
01/08/2021,737.7356038,115.4208348,724.21
01/07/2021,734.9315892,115.1828772,719.97
01/06/2021,729.7281051,114.6314399,711.45
01/05/2021,726.5489394,113.5762414,701.83
01/04/2021,702.5916935,112.6729306,673.29
01/03/2021,691.3853889,111.7544311,657.15
01/02/2021,681.1946821,110.9684115,642.91
01/01/2021,688.5033762,110.3642355,646.27
01/12/2020,661.4754469,109.8967585,618.27
01/11/2020,590.0595452,109.7933903,551
01/10/2020,604.8430577,109.8604741,565.15
01/09/2020,626.1971055,109.8149078,584.86
01/08/2020,591.7198009,109.6621761,551.89
01/07/2020,564.5672629,109.3174751,524.91
01/06/2020,550.7324806,108.7673036,509.47
01/05/2020,531.6819184,108.1753629,489.17
01/04/2020,480.8023449,108.1732534,442.35
01/03/2020,553.606052,108.9014712,512.76
01/02/2020,601.8065635,109.1390069,558.62
01/01/2020,610.6072188,108.8407161,565.24
01/12/2019,592.8704754,108.4200711,546.7
01/11/2019,579.0152974,108.5187982,534.41
01/10/2019,563.8043008,108.5770219,520.65
01/09/2019,554.489287,108.3293603,510.88
01/08/2019,569.5549687,108.2445563,524.35
01/07/2019,568.5377082,108.2500411,523.44
01/06/2019,535.4124399,108.0694634,492.12
01/05/2019,571.1245765,108.0479459,524.84
01/04/2019,554.5760452,107.8184265,508.55
01/03/2019,551.954393,107.2505348,503.48
01/02/2019,541.5188929,106.6488902,491.19
01/01/2019,504.4718294,106.1999772,455.66
01/12/2018,544.4786974,105.997882,490.86
01/11/2018,535.784854,106.3375201,484.57
01/10/2018,577.7172077,106.6948784,524.25
01/09/2018,577.2255062,106.5067063,522.88
01/08/2018,574.5142909,106.3830864,519.82
01/07/2018,558.6661973,106.324019,505.2
01/06/2018,562.6519725,106.3168465,508.77
01/05/2018,564.5678254,106.1476603,509.69
01/04/2018,562.6001862,105.7080294,505.81
01/03/2018,578.5384473,105.289494,518.08
01/02/2018,606.2490453,105.0519583,541.67
01/01/2018,576.7983181,104.5777307,513.03
01/12/2017,571.3606629,104.0111047,505.44
01/11/2017,561.0603348,104.0722817,496.62
01/10/2017,550.0698731,104.0697503,486.88
01/09/2017,540.1589727,104.1355683,478.41
01/08/2017,542.0769722,103.5870845,477.58
01/07/2017,529.480975,103.277824,465.09
01/06/2017,527.6367122,103.3491269,463.79
01/05/2017,518.2997868,103.2554627,455.17
01/04/2017,511.562879,103.1672834,448.87
01/03/2017,508.0848166,102.8622419,444.5
01/02/2017,495.4907681,102.7787036,433.13
01/01/2017,484.0935057,102.4563639,421.84
01/12/2016,477.2073118,101.8627356,413.43
01/11/2016,474.5692793,101.8294046,411.01
01/10/2016,482.3852199,101.9880431,418.43
01/09/2016,480.8858384,101.8610479,416.61
01/08/2016,481.4402155,101.6167617,416.09
01/07/2016,462.4259594,101.5235194,399.29
01/06/2016,465.4701797,101.6880646,402.57
01/05/2016,467.8921881,101.3551771,403.34
01/04/2016,463.8683165,100.9467675,398.26
01/03/2016,434.9386449,100.4704304,371.66
01/02/2016,440.7604942,100.0396596,375.02
01/01/2016,469.7535882,99.95738702,399.36
01/12/2015,479.767309,99.79241995,407.2
01/11/2015,482.8833448,100.1345895,411.25
01/10/2015,447.1816317,100.3463887,381.65
01/09/2015,464.6419239,100.3915331,396.73
01/08/2015,499.0577359,100.548062,426.78
01/07/2015,494.5325539,100.6906678,423.51
01/06/2015,507.4112703,100.6839172,434.51
01/05/2015,511.2863111,100.3324656,436.3
01/04/2015,500.3001596,99.82364134,424.76
01/03/2015,510.4168289,99.62112422,432.47
01/02/2015,487.1687332,99.03171502,410.33
01/01/2015,497.3810413,98.6034757,417.12
01/12/2014,505.3656298,99.06968698,425.82
01/11/2014,494.9830687,99.63462536,419.45
01/10/2014,489.2588161,100.1755148,416.85
01/09/2014,505.2397759,100.4278174,431.55
01/08/2014,495.6493716,100.3522954,423.04
01/07/2014,501.5002547,100.5202158,428.75
01/06/2014,492.8627787,100.5594535,421.53
01/05/2014,485.0653302,100.3725471,414.09
01/04/2014,483.1507136,100.0232051,411.02
01/03/2014,483.693906,99.69453668,410.13
01/02/2014,465.1943296,99.05660775,391.92
01/01/2014,486.7267553,98.69165503,408.55
01/12/2013,480.7649042,98.32585848,402.05
01/11/2013,474.8169836,98.3342967,397.11
01/10/2013,455.9008889,98.53554808,382.07
01/09/2013,433.1967077,98.78996021,363.98
01/08/2013,443.8406114,98.67520051,372.49
01/07/2013,424.4755521,98.55664362,355.81
01/06/2013,438.2242986,98.51782784,367.19
01/05/2013,441.9436976,98.28197977,369.42
01/04/2013,431.5130674,98.10730876,360.06
01/03/2013,424.3242037,98.20941114,354.43
01/02/2013,426.2378253,97.95331137,355.1
01/01/2013,411.1527303,97.15758785,339.75
01/12/2012,403.7389328,96.87111051,332.64
01/11/2012,398.3302503,97.13269512,329.07
01/10/2012,399.4668178,97.59510921,331.58
