date,real,CPI,index
01/12/2021,1212.42,117.5764754,1212.42
01/11/2021,1268.063695,117.2692254,1264.75
01/10/2021,1262.556319,116.6958488,1253.1
01/09/2021,1329.500303,115.7343144,1308.67
01/08/2021,1301.664648,115.4208348,1277.8
01/07/2021,1403.206189,115.1828772,1374.64
01/06/2021,1411.566681,114.6314399,1376.21
01/05/2021,1395.073759,113.5762414,1347.61
01/04/2021,1373.721254,112.6729306,1316.43
01/03/2021,1409.031113,111.7544311,1339.26
01/02/2021,1408.744635,110.9684115,1329.57
01/01/2021,1375.643105,110.3642355,1291.26
01/12/2020,1289.281733,109.8967585,1205.07
01/11/2020,1181.682588,109.7933903,1103.46
01/10/2020,1157.993786,109.8604741,1082
01/09/2020,1179.352515,109.8149078,1101.5
01/08/2020,1156.78546,109.6621761,1078.92
01/07/2020,1070.280397,109.3174751,995.1
01/06/2020,1005.699969,108.7673036,930.35
01/05/2020,1005.323044,108.1753629,924.94
01/04/2020,922.3448714,108.1732534,848.58
01/03/2020,1085.61892,108.9014712,1005.52
01/02/2020,1144.468842,109.1390069,1062.34
01/01/2020,1204.124695,108.8407161,1114.66
01/12/2019,1127.885381,108.4200711,1040.05
01/11/2019,1128.950356,108.5187982,1041.98
01/10/2019,1083.968319,108.5770219,1001
01/09/2019,1068.353507,108.3293603,984.33
01/08/2019,1126.412126,108.2445563,1037.01
01/07/2019,1145.742945,108.2500411,1054.86
01/06/2019,1085.795365,108.0694634,998
01/05/2019,1174.41599,108.0479459,1079.24
01/04/2019,1153.895488,107.8184265,1058.13
01/03/2019,1152.134085,107.2505348,1050.95
01/02/2019,1157.509174,106.6488902,1049.93
01/01/2019,1069.237597,106.1999772,965.78
01/12/2018,1103.377439,105.997882,994.72
01/11/2018,1056.952469,106.3375201,955.92
01/10/2018,1154.784243,106.6948784,1047.91
01/09/2018,1165.711149,106.5067063,1055.96
01/08/2018,1201.880095,106.3830864,1087.46
01/07/2018,1182.709167,106.324019,1069.52
01/06/2018,1239.400303,106.3168465,1120.71
01/05/2018,1289.803043,106.1476603,1164.43
01/04/2018,1302.341405,105.7080294,1170.88
01/03/2018,1334.665239,105.289494,1195.19
01/02/2018,1404.164879,105.0519583,1254.59
01/01/2018,1302.442375,104.5777307,1158.45
01/12/2017,1266.966044,104.0111047,1120.79
01/11/2017,1264.289395,104.0722817,1119.08
01/10/2017,1222.111369,104.0697503,1081.72
01/09/2017,1228.09079,104.1355683,1087.7
01/08/2017,1210.2239,103.5870845,1066.23
01/07/2017,1150.743661,103.277824,1010.8
01/06/2017,1143.726721,103.3491269,1005.33
01/05/2017,1113.598127,103.2554627,977.96
01/04/2017,1092.223843,103.1672834,958.37
01/03/2017,1070.315815,102.8622419,936.37
01/02/2017,1040.138229,102.7787036,909.23
01/01/2017,989.5204513,102.4563639,862.27
01/12/2016,995.9334949,101.8627356,862.83
01/11/2016,1045.054643,101.8294046,905.09
01/10/2016,1041.549962,101.9880431,903.46
01/09/2016,1031.559627,101.8610479,893.68
01/08/2016,1010.655351,101.6167617,873.47
01/07/2016,965.9883612,101.5235194,834.1
01/06/2016,933.6112889,101.6880646,807.45
01/05/2016,974.657454,101.3551771,840.19
01/04/2016,974.6522554,100.9467675,836.8
01/03/2016,866.3782138,100.4704304,740.33
01/02/2016,872.5064479,100.0396596,742.37
01/01/2016,934.1198781,99.95738702,794.14
01/12/2015,959.416797,99.79241995,814.3
01/11/2015,995.5205229,100.1345895,847.84
01/10/2015,928.0498137,100.3463887,792.05
01/09/2015,958.8795462,100.3915331,818.73
01/08/2015,1054.384881,100.548062,901.68
01/07/2015,1135.296157,100.6906678,972.25
01/06/2015,1172.706142,100.6839172,1004.22
01/05/2015,1227.86058,100.3324656,1047.78
01/04/2015,1147.889459,99.82364134,974.57
01/03/2015,1168.764486,99.62112422,990.28
