date,spot,contract_1,f_3,CPI,nom_spot,nom_f_1,nom_f_3
01/12/2021,3.76,3.86,3.67,117.5764754,3.76,3.86,3.67
01/11/2021,5.06,5.11,5.07,117.2692254,5.05,5.1,5.06
01/10/2021,5.55,5.62,5.86,116.6958488,5.51,5.58,5.82
01/09/2021,5.24,5.20,5.35,115.7343144,5.16,5.12,5.27
01/08/2021,4.15,4.11,4.20,115.4208348,4.07,4.03,4.12
01/07/2021,3.92,3.90,3.88,115.1828772,3.84,3.82,3.8
01/06/2021,3.34,3.35,3.35,114.6314399,3.26,3.27,3.27
01/05/2021,3.01,3.06,3.13,113.5762414,2.91,2.96,3.02
01/04/2021,2.78,2.81,2.94,112.6729306,2.66,2.69,2.82
01/03/2021,2.76,2.76,2.86,111.7544311,2.62,2.62,2.72
01/02/2021,5.67,3.09,3.07,110.9684115,5.35,2.92,2.9
01/01/2021,2.89,2.82,2.81,110.3642355,2.71,2.65,2.64
01/12/2020,2.77,2.76,2.75,109.8967585,2.59,2.58,2.57
01/11/2020,2.80,3.07,3.18,109.7933903,2.61,2.87,2.97
01/10/2020,2.56,3.04,3.59,109.8604741,2.39,2.84,3.35
01/09/2020,2.06,2.44,3.45,109.8149078,1.92,2.28,3.22
01/08/2020,2.47,2.51,3.01,109.6621761,2.3,2.34,2.81
01/07/2020,1.90,1.90,2.12,109.3174751,1.77,1.77,1.97
01/06/2020,1.76,1.84,1.99,108.7673036,1.63,1.7,1.84
01/05/2020,1.90,1.97,2.26,108.1753629,1.75,1.81,2.08
01/04/2020,1.89,1.91,2.26,108.1732534,1.74,1.76,2.08
01/03/2020,1.93,1.87,2.02,108.9014712,1.79,1.73,1.87
01/02/2020,2.06,1.98,2.07,109.1390069,1.91,1.84,1.92
01/01/2020,2.18,2.19,2.20,108.8407161,2.02,2.03,2.041
01/12/2019,2.41,2.48,2.41,108.4200711,2.22,2.283,2.218
01/11/2019,2.87,2.84,2.85,108.5187982,2.65,2.625,2.632
01/10/2019,2.52,2.53,2.83,108.5770219,2.33,2.339,2.616
01/09/2019,2.78,2.72,2.93,108.3293603,2.56,2.508,2.703
01/08/2019,2.41,2.36,2.46,108.2445563,2.22,2.174,2.262
01/07/2019,2.57,2.50,2.52,108.2500411,2.37,2.303,2.319
01/06/2019,2.61,2.53,2.51,108.0694634,2.4,2.33,2.308
01/05/2019,2.87,2.82,2.86,108.0479459,2.64,2.593,2.631
01/04/2019,2.89,2.83,2.94,107.8184265,2.65,2.598,2.693
01/03/2019,3.23,3.08,3.14,107.2505348,2.95,2.805,2.863
01/02/2019,2.97,2.95,2.99,106.6488902,2.69,2.68,2.714
01/01/2019,3.44,3.44,3.08,106.1999772,3.11,3.11,2.78
01/12/2018,4.48,4.33,3.97,105.997882,4.04,3.903,3.583
01/11/2018,4.52,4.54,4.38,106.3375201,4.09,4.11,3.96
01/10/2018,3.61,3.54,3.66,106.6948784,3.28,3.208,3.318
01/09/2018,3.31,3.20,3.29,106.5067063,3,2.897,2.98
01/08/2018,3.27,3.21,3.26,106.3830864,2.96,2.908,2.948
01/07/2018,3.13,3.09,3.08,106.324019,2.83,2.793,2.787
01/06/2018,3.28,3.25,3.23,106.3168465,2.97,2.943,2.921
01/05/2018,3.10,3.14,3.18,106.1476603,2.8,2.834,2.87
01/04/2018,3.11,3.03,3.12,105.7080294,2.8,2.724,2.803
01/03/2018,3.00,3.02,3.11,105.289494,2.69,2.701,2.784
01/02/2018,2.99,2.97,3.02,105.0519583,2.67,2.657,2.695
01/01/2018,4.35,3.54,3.15,104.5777307,3.87,3.153,2.8
01/12/2017,3.19,3.14,3.09,104.0111047,2.82,2.776,2.737
01/11/2017,3.40,3.46,3.56,104.0722817,3.01,3.064,3.149
01/10/2017,3.25,3.29,3.62,104.0697503,2.88,2.916,3.203
01/09/2017,3.36,3.39,3.65,104.1355683,2.98,3.006,3.229
01/08/2017,3.29,3.30,3.43,103.5870845,2.9,2.905,3.023
01/07/2017,3.39,3.36,3.40,103.277824,2.98,2.955,2.988
01/06/2017,3.39,3.41,3.43,103.3491269,2.98,2.994,3.013
01/05/2017,3.59,3.68,3.81,103.2554627,3.15,3.236,3.346
01/04/2017,3.53,3.63,3.81,103.1672834,3.1,3.189,3.344
01/03/2017,3.29,3.42,3.59,102.8622419,2.88,2.992,3.14
01/02/2017,3.26,3.33,3.51,102.7787036,2.85,2.907,3.067
01/01/2017,3.79,3.78,3.78,102.4563639,3.3,3.291,3.294
01/12/2016,4.14,4.14,4.09,101.8627356,3.59,3.591,3.547
01/11/2016,2.94,3.32,3.52,101.8294046,2.55,2.875,3.047
