date,contract_1,CPI,contract_1_nom
01/12/2021,1.033,117.5764754,1.033
01/11/2021,1.255,117.2692254,1.252
01/10/2021,1.465,116.6958488,1.454
01/09/2021,1.312,115.7343144,1.291
01/08/2021,1.135,115.4208348,1.114
01/07/2021,1.113,115.1828772,1.09
01/06/2021,0.990,114.6314399,0.965
01/05/2021,0.845,113.5762414,0.816
01/04/2021,0.859,112.6729306,0.823
01/03/2021,0.970,111.7544311,0.922
01/02/2021,0.959,110.9684115,0.905
01/01/2021,0.919,110.3642355,0.863
01/12/2020,0.689,109.8967585,0.644
01/11/2020,0.584,109.7933903,0.545
01/10/2020,0.563,109.8604741,0.526
01/09/2020,0.530,109.8149078,0.495
01/08/2020,0.543,109.6621761,0.506
01/07/2020,0.528,109.3174751,0.491
01/06/2020,0.536,108.7673036,0.496
01/05/2020,0.453,108.1753629,0.417
01/04/2020,0.355,108.1732534,0.327
01/03/2020,0.315,108.9014712,0.292
01/02/2020,0.428,109.1390069,0.397
01/01/2020,0.465,108.8407161,0.43
01/12/2019,0.538,108.4200711,0.496
01/11/2019,0.577,108.5187982,0.533
01/10/2019,0.505,108.5770219,0.466
01/09/2019,0.486,108.3293603,0.448
01/08/2019,0.440,108.2445563,0.405
01/07/2019,0.529,108.2500411,0.487
01/06/2019,0.488,108.0694634,0.449
01/05/2019,0.628,108.0479459,0.577
01/04/2019,0.700,107.8184265,0.642
01/03/2019,0.735,107.2505348,0.67
01/02/2019,0.742,106.6488902,0.673
01/01/2019,0.736,106.1999772,0.665
01/12/2018,0.751,105.997882,0.677
01/11/2018,0.824,106.3375201,0.745
01/10/2018,1.057,106.6948784,0.959
01/09/2018,1.167,106.5067063,1.057
01/08/2018,1.076,106.3830864,0.974
01/07/2018,1.037,106.324019,0.938
01/06/2018,0.973,106.3168465,0.88
01/05/2018,1.016,106.1476603,0.917
01/04/2018,0.913,105.7080294,0.821
01/03/2018,0.880,105.289494,0.788
01/02/2018,0.926,105.0519583,0.827
01/01/2018,1.016,104.5777307,0.904
01/12/2017,1.082,104.0111047,0.957
01/11/2017,1.107,104.0722817,0.98
01/10/2017,1.055,104.0697503,0.934
01/09/2017,0.997,104.1355683,0.883
01/08/2017,0.860,103.5870845,0.758
01/07/2017,0.737,103.277824,0.647
01/06/2017,0.671,103.3491269,0.59
01/05/2017,0.729,103.2554627,0.64
01/04/2017,0.742,103.1672834,0.651
01/03/2017,0.703,102.8622419,0.615
01/02/2017,0.879,102.7787036,0.768
01/01/2017,0.857,102.4563639,0.747
01/12/2016,0.735,101.8627356,0.637
01/11/2016,0.621,101.8294046,0.538
01/10/2016,0.661,101.9880431,0.573
01/09/2016,0.571,101.8610479,0.495
01/08/2016,0.520,101.6167617,0.449
01/07/2016,0.554,101.5235194,0.478
01/06/2016,0.586,101.6880646,0.507
01/05/2016,0.599,101.3551771,0.516
01/04/2016,0.532,100.9467675,0.457
01/03/2016,0.529,100.4704304,0.452
01/02/2016,0.441,100.0396596,0.375
01/01/2016,0.395,99.95738702,0.336
01/12/2015,0.456,99.79241995,0.387
01/11/2015,0.505,100.1345895,0.43
01/10/2015,0.528,100.3463887,0.451
01/09/2015,0.531,100.3915331,0.453
01/08/2015,0.437,100.548062,0.374
01/07/2015,0.478,100.6906678,0.409
01/06/2015,0.431,100.6839172,0.369
01/05/2015,0.551,100.3324656,0.47
01/04/2015,0.645,99.82364134,0.548
01/03/2015,0.640,99.62112422,0.542
01/02/2015,0.680,99.03171502,0.573
