date,real,CPI,nominal
01/12/2021,4766.18,117.5764754,4766.18
01/11/2021,4472.397236,117.2692254,4460.71
01/10/2021,4340.046163,116.6958488,4307.54
01/09/2021,4594.668198,115.7343144,4522.68
01/08/2021,4445.208202,115.4208348,4363.71
01/07/2021,4386.805708,115.1828772,4297.5
01/06/2021,4274.927658,114.6314399,4167.85
01/05/2021,4328.433709,113.5762414,4181.17
01/04/2021,4145.790837,112.6729306,3972.89
01/03/2021,4085.744139,111.7544311,3883.43
01/02/2021,4019.664221,110.9684115,3793.75
01/01/2021,4001.527035,110.3642355,3756.07
01/12/2020,3874.713837,109.8967585,3621.63
01/11/2020,3661.0464,109.7933903,3418.7
01/10/2020,3599.198801,109.8604741,3363
01/09/2020,3747.707128,109.8149078,3500.31
01/08/2020,3507.196135,109.6621761,3271.12
01/07/2020,3334.518754,109.3174751,3100.29
01/06/2020,3156.07211,108.7673036,2919.61
01/05/2020,3165.538298,108.1753629,2912.43
01/04/2020,2809.261745,108.1732534,2584.59
01/03/2020,3190.187804,108.9014712,2954.81
01/02/2020,3474.36583,109.1390069,3225.04
01/01/2020,3489.87239,108.8407161,3230.58
01/12/2019,3367.118235,108.4200711,3104.9
01/11/2019,3226.216333,108.5187982,2977.68
01/10/2019,3229.337624,108.5770219,2982.16
01/09/2019,3144.833833,108.3293603,2897.5
01/08/2019,3254.408959,108.2445563,2996.11
01/07/2019,3139.176654,108.2500411,2890.17
01/06/2019,2994.184077,108.0694634,2752.08
01/05/2019,3159.88024,108.0479459,2903.8
01/04/2019,3057.752707,107.8184265,2803.98
01/03/2019,3020.094303,107.2505348,2754.86
01/02/2019,2874.551491,106.6488902,2607.39
01/01/2019,2842.328869,106.1999772,2567.31
01/12/2018,3020.699839,105.997882,2723.23
01/11/2018,3079.859009,106.3375201,2785.46
01/10/2018,3197.418175,106.6948784,2901.5
01/09/2018,3154.847378,106.5067063,2857.82
01/08/2018,3087.580514,106.3830864,2793.64
01/07/2018,3045.847667,106.324019,2754.35
01/06/2018,2987.59494,106.3168465,2701.49
01/05/2018,2939.343756,106.1476603,2653.63
01/04/2018,3006.225471,105.7080294,2702.77
01/03/2018,3020.844399,105.289494,2705.16
01/02/2018,3122.405869,105.0519583,2789.8
01/01/2018,2995.510654,104.5777307,2664.34
01/12/2017,2931.874662,104.0111047,2593.61
01/11/2017,2888.790777,104.0722817,2557
01/10/2017,2816.37402,104.0697503,2492.84
01/09/2017,2773.247365,104.1355683,2456.22
01/08/2017,2785.525143,103.5870845,2454.1
01/07/2017,2770.972068,103.277824,2433.99
01/06/2017,2725.101014,103.3491269,2395.35
01/05/2017,2686.534417,103.2554627,2359.31
01/04/2017,2697.389565,103.1672834,2366.82
01/03/2017,2663.198863,102.8622419,2329.91
01/02/2017,2602.685005,102.7787036,2275.12
01/01/2017,2578.178914,102.4563639,2246.63
01/12/2016,2498.969737,101.8627356,2164.99
01/11/2016,2474.420225,101.8294046,2143.02
01/10/2016,2487.483607,101.9880431,2157.69
01/09/2016,2505.890666,101.8610479,2170.95
01/08/2016,2486.401691,101.6167617,2148.9
01/07/2016,2413.395859,101.5235194,2083.89
01/06/2016,2388.285093,101.6880646,2065.55
01/05/2016,2407.717937,101.3551771,2075.54
01/04/2016,2355.040783,100.9467675,2021.95
01/03/2016,2228.665593,100.4704304,1904.42
01/02/2016,2254.927962,100.0396596,1918.6
01/01/2016,2416.144457,99.95738702,2054.08
01/12/2015,2451.408297,99.79241995,2080.62
01/11/2015,2377.500366,100.1345895,2024.81
01/10/2015,2278.277052,100.3463887,1944.41
01/09/2015,2389.053315,100.3915331,2039.87
01/08/2015,2448.795088,100.548062,2094.14
01/07/2015,2451.340572,100.6906678,2099.29
01/06/2015,2466.27732,100.6839172,2111.94
01/05/2015,2454.900852,100.3324656,2094.86
01/04/2015,2449.899541,99.82364134,2079.99
01/03/2015,2457.488199,99.62112422,2082.2
