date,production
01/11/2021,11753
01/10/2021,11509
01/09/2021,10851
01/08/2021,11206
01/07/2021,11330
01/06/2021,11288
01/05/2021,11334
01/04/2021,11230
01/03/2021,11160
01/02/2021,9773
01/01/2021,11056
01/12/2020,11084
01/11/2020,11121
01/10/2020,10413
01/09/2020,10868
01/08/2020,10558
01/07/2020,10956
01/06/2020,10420
01/05/2020,9711
01/04/2020,11911
01/03/2020,12816
01/02/2020,12826
01/01/2020,12785
01/12/2019,12910
01/11/2019,12966
01/10/2019,12771
01/09/2019,12572
01/08/2019,12475
01/07/2019,11896
01/06/2019,12179
01/05/2019,12141
01/04/2019,12125
01/03/2019,11899
01/02/2019,11653
01/01/2019,11848
01/12/2018,11924
01/11/2018,11868
01/10/2018,11488
01/09/2018,11422
01/08/2018,11373
01/07/2018,10888
01/06/2018,10628
01/05/2018,10424
01/04/2018,10493
01/03/2018,10461
01/02/2018,10276
01/01/2018,9996
01/12/2017,9979
01/11/2017,10077
01/10/2017,9659
01/09/2017,9516
01/08/2017,9245
01/07/2017,9246
01/06/2017,9110
01/05/2017,9184
01/04/2017,9103
01/03/2017,9168
01/02/2017,9109
01/01/2017,8873
01/12/2016,8814
01/11/2016,8901
01/10/2016,8802
01/09/2016,8542
01/08/2016,8688
01/07/2016,8660
01/06/2016,8672
01/05/2016,8832
01/04/2016,8871
01/03/2016,9088
01/02/2016,9063
01/01/2016,9201
01/12/2015,9275
01/11/2015,9332
01/10/2015,9400
01/09/2015,9480
01/08/2015,9409
01/07/2015,9446
01/06/2015,9358
01/05/2015,9474
01/04/2015,9658
01/03/2015,9582
01/02/2015,9504
01/01/2015,9382
01/12/2014,9564
01/11/2014,9326
01/10/2014,9264
01/09/2014,9086
01/08/2014,8929
01/07/2014,8843
01/06/2014,8743
01/05/2014,8645
01/04/2014,8527
01/03/2014,8297
01/02/2014,8157
01/01/2014,8078
01/12/2013,7934
01/11/2013,7920
01/10/2013,7761
01/09/2013,7839
01/08/2013,7536
01/07/2013,7524
01/06/2013,7279
01/05/2013,7327
01/04/2013,7375
01/03/2013,7215
01/02/2013,7156
01/01/2013,7084
01/12/2012,7105
01/11/2012,7081
01/10/2012,6969
01/09/2012,6597
01/08/2012,6350
01/07/2012,6431
01/06/2012,6275
01/05/2012,6369
01/04/2012,6320
01/03/2012,6326
01/02/2012,6268
01/01/2012,6175
01/12/2011,6112
01/11/2011,6039
01/10/2011,5902
01/09/2011,5614
01/08/2011,5665
01/07/2011,5440
01/06/2011,5589
01/05/2011,5625
01/04/2011,5562
01/03/2011,5618
01/02/2011,5406
01/01/2011,5497
01/12/2010,5607
01/11/2010,5576
01/10/2010,5631
01/09/2010,5616
01/08/2010,5447
01/07/2010,5298
01/06/2010,5380
01/05/2010,5401
01/04/2010,5392
01/03/2010,5515
01/02/2010,5553
01/01/2010,5404
01/12/2009,5452
01/11/2009,5395
01/10/2009,5524
01/09/2009,5559
01/08/2009,5418
01/07/2009,5398
01/06/2009,5269
01/05/2009,5377
01/04/2009,5278
01/03/2009,5219
01/02/2009,5239
01/01/2009,5144
01/12/2008,5103
01/11/2008,5078
01/10/2008,4738
01/09/2008,3974
01/08/2008,5003
01/07/2008,5177
01/06/2008,5138
01/05/2008,5143
01/04/2008,5180
01/03/2008,5189
01/02/2008,5148
01/01/2008,5115
01/12/2007,5111
01/11/2007,5034
01/10/2007,5022
01/09/2007,4902
01/08/2007,4970
01/07/2007,5038
01/06/2007,5075
01/05/2007,5211
01/04/2007,5180
01/03/2007,5119
01/02/2007,5118
01/01/2007,5108
01/12/2006,5186
01/11/2006,5064
01/10/2006,5108
01/09/2006,5031
01/08/2006,5040
01/07/2006,5094
01/06/2006,5163
01/05/2006,5151
01/04/2006,5082
01/03/2006,5027
01/02/2006,5032
01/01/2006,5048
01/12/2005,4988
01/11/2005,4857
01/10/2005,4555
01/09/2005,4214
01/08/2005,5198
01/07/2005,5253
01/06/2005,5442
01/05/2005,5596
01/04/2005,5563
01/03/2005,5601
01/02/2005,5501
01/01/2005,5446
01/12/2004,5510
01/11/2004,5423
01/10/2004,5170
01/09/2004,5081
01/08/2004,5325
01/07/2004,5484
01/06/2004,5407
01/05/2004,5556
01/04/2004,5560
01/03/2004,5617
01/02/2004,5572
01/01/2004,5585
01/12/2003,5571
01/11/2003,5547
01/10/2003,5614
01/09/2003,5609
01/08/2003,5574
01/07/2003,5498
01/06/2003,5659
01/05/2003,5663
01/04/2003,5726
01/03/2003,5803
01/02/2003,5783
01/01/2003,5755
01/12/2002,5722
01/11/2002,5624
01/10/2002,5358
01/09/2002,5411
01/08/2002,5796
01/07/2002,5751
01/06/2002,5884
01/05/2002,5905
01/04/2002,5844
01/03/2002,5886
01/02/2002,5881
01/01/2002,5873
01/12/2001,5887
01/11/2001,5881
01/10/2001,5746
01/09/2001,5709
01/08/2001,5725
01/07/2001,5749
01/06/2001,5766
01/05/2001,5829
01/04/2001,5863
01/03/2001,5880
01/02/2001,5780
01/01/2001,5799
01/12/2000,5855
01/11/2000,5833
01/10/2000,5809
01/09/2000,5758
01/08/2000,5789
01/07/2000,5739
01/06/2000,5823
01/05/2000,5847
01/04/2000,5854
01/03/2000,5918
01/02/2000,5852
01/01/2000,5784
01/12/1999,5959
01/11/1999,5960
01/10/1999,5947
01/09/1999,5804
01/08/1999,5780
01/07/1999,5798
01/06/1999,5760
01/05/1999,5875
01/04/1999,5887
01/03/1999,5883
01/02/1999,5966
01/01/1999,5963
01/12/1998,6043
01/11/1998,6140
01/10/1998,6143
01/09/1998,5789
01/08/1998,6203
01/07/1998,6194
01/06/1998,6267
01/05/1998,6347
01/04/1998,6483
01/03/1998,6408
01/02/1998,6476
01/01/1998,6541
01/12/1997,6531
01/11/1997,6459
01/10/1997,6467
01/09/1997,6486
01/08/1997,6347
01/07/1997,6409
01/06/1997,6442
01/05/1997,6474
01/04/1997,6441
01/03/1997,6452
01/02/1997,6514
01/01/1997,6402
01/12/1996,6506
01/11/1996,6476
01/10/1996,6481
01/09/1996,6482
01/08/1996,6360
01/07/1996,6338
01/06/1996,6458
01/05/1996,6394
01/04/1996,6444
01/03/1996,6571
01/02/1996,6577
01/01/1996,6495
01/12/1995,6530
01/11/1995,6585
01/10/1995,6421
01/09/1995,6416
01/08/1995,6447
01/07/1995,6449
01/06/1995,6579
01/05/1995,6629
01/04/1995,6604
01/03/1995,6600
01/02/1995,6794
01/01/1995,6682
01/12/1994,6760
01/11/1994,6628
01/10/1994,6658
01/09/1994,6609
01/08/1994,6544
01/07/1994,6501
