date,VIX
01/02/1990,21.99
01/03/1990,19.73
01/04/1990,19.52
01/05/1990,17.370001
01/06/1990,15.5
01/07/1990,21.110001
01/08/1990,29.9
01/09/1990,29.110001
01/10/1990,30.040001
01/11/1990,22.16
01/12/1990,26.379999
01/01/1991,20.91
01/02/1991,21.23
01/03/1991,16.879999
01/04/1991,18.24
01/05/1991,15.93
01/06/1991,19.549999
01/07/1991,15.18
01/08/1991,14.46
01/09/1991,15.85
01/10/1991,15.48
01/11/1991,20.26
01/12/1991,19.309999
01/01/1992,17.4
01/02/1992,16.68
01/03/1992,16.18
01/04/1992,15.53
01/05/1992,13.86
01/06/1992,13.35
01/07/1992,13.17
01/08/1992,13.58
01/09/1992,14.28
01/10/1992,16.15
01/11/1992,13.01
01/12/1992,12.57
01/01/1993,12.42
01/02/1993,13.16
01/03/1993,12.53
01/04/1993,12.42
01/05/1993,13.47
01/06/1993,11.26
01/07/1993,11.73
01/08/1993,11.85
01/09/1993,12.99
01/10/1993,11.46
01/11/1993,13.76
01/12/1993,11.66
01/01/1994,10.63
01/02/1994,14.87
01/03/1994,20.450001
01/04/1994,13.77
01/05/1994,13.03
01/06/1994,14.97
01/07/1994,11.13
01/08/1994,11.97
01/09/1994,14.28
01/10/1994,14.56
01/11/1994,15.95
01/12/1994,13.2
01/01/1995,11.96
01/02/1995,11.75
01/03/1995,13.37
01/04/1995,11.75
01/05/1995,12.85
01/06/1995,11.38
01/07/1995,13.49
01/08/1995,11.52
01/09/1995,12.74
01/10/1995,13.83
01/11/1995,11.58
01/12/1995,12.52
01/01/1996,12.53
01/02/1996,17.040001
01/03/1996,18.879999
01/04/1996,15.83
01/05/1996,16.07
01/06/1996,13.68
01/07/1996,19.459999
01/08/1996,17.01
01/09/1996,16.950001
01/10/1996,18.110001
01/11/1996,17.139999
01/12/1996,20.92
01/01/1997,19.469999
01/02/1997,21.1
01/03/1997,22.139999
01/04/1997,20.059999
01/05/1997,19.190001
01/06/1997,21.530001
01/07/1997,21.48
01/08/1997,24.76
01/09/1997,22.91
01/10/1997,35.09
01/11/1997,27.43
01/12/1997,24.01
01/01/1998,21.469999
01/02/1998,18.549999
01/03/1998,24.219999
01/04/1998,21.18
