date,VXO
01/02/1986,21.59
01/03/1986,23.33
01/04/1986,21.690001
01/05/1986,18.889999
01/06/1986,18.309999
01/07/1986,19.57
01/08/1986,18.530001
01/09/1986,24.76
01/10/1986,19.23
01/11/1986,18.99
01/12/1986,18.709999
01/01/1987,24.709999
01/02/1987,22.77
01/03/1987,23.030001
01/04/1987,28.450001
01/05/1987,22.52
01/06/1987,21.33
01/07/1987,16.450001
01/08/1987,22.33
01/09/1987,22.379999
01/10/1987,61.41
01/11/1987,46.130001
01/12/1987,39.450001
01/01/1988,35.549999
01/02/1988,29.83
01/03/1988,26.940001
01/04/1988,27.040001
01/05/1988,23.34
01/06/1988,24.690001
01/07/1988,22.84
01/08/1988,21.42
01/09/1988,18.74
01/10/1988,22.68
01/11/1988,18.18
01/12/1988,18.530001
01/01/1989,18.139999
01/02/1989,17.9
01/03/1989,17.08
01/04/1989,16.950001
01/05/1989,17.49
01/06/1989,18.16
01/07/1989,18.08
01/08/1989,18.33
01/09/1989,15.99
01/10/1989,23.200001
01/11/1989,19.209999
01/12/1989,17.389999
01/01/1990,25.99
01/02/1990,20.809999
01/03/1990,20.73
01/04/1990,19.59
01/05/1990,18.370001
01/06/1990,18.77
01/07/1990,19.35
01/08/1990,28.57
01/09/1990,29.99
01/10/1990,30.610001
01/11/1990,22.450001
01/12/1990,23.549999
01/01/1991,20.33
01/02/1991,20.35
01/03/1991,19.23
01/04/1991,19.35
01/05/1991,17.42
01/06/1991,19.530001
01/07/1991,15.8
01/08/1991,15.22
01/09/1991,16.09
01/10/1991,16.07
01/11/1991,20.57
01/12/1991,20.17
01/01/1992,17.91
01/02/1992,15.98
01/03/1992,15.91
01/04/1992,15.03
01/05/1992,14.24
01/06/1992,13.49
01/07/1992,13.36
01/08/1992,13.84
01/09/1992,15.17
01/10/1992,16.43
01/11/1992,13.51
01/12/1992,13.55
01/01/1993,12.29
01/02/1993,12.75
01/03/1993,13.57
01/04/1993,13.42
01/05/1993,12.87
01/06/1993,12.15
01/07/1993,12.01
01/08/1993,11.62
01/09/1993,12.71
01/10/1993,11.51
01/11/1993,12.87
01/12/1993,11.46
01/01/1994,9.82
01/02/1994,13.75
01/03/1994,19.15
01/04/1994,13.32
01/05/1994,12.1
01/06/1994,15.82
01/07/1994,10.64
01/08/1994,11.51
01/09/1994,14.29
01/10/1994,13.73
01/11/1994,16.559999
01/12/1994,13.44
01/01/1995,11.41
01/02/1995,11.48
01/03/1995,13.58
01/04/1995,12
01/05/1995,14.56
01/06/1995,12.88
01/07/1995,14.3
01/08/1995,11.99
01/09/1995,12.99
01/10/1995,14.42
01/11/1995,12.05
01/12/1995,13.89
01/01/1996,13.29
