date,lumber-SPX-0,lumber-SPX-smth,lumber-MSCI_W-0,lumber-MSCI_W-smth,lumber-MSCI_EM-0,lumber-MSCI_EM-smth,gold-SPX-0,gold-SPX-smth,gold-MSCI_W-0,gold-MSCI_W-smth,gold-MSCI_EM-0,gold-MSCI_EM-smth,wheat-SPX-0,wheat-SPX-smth,wheat-MSCI_W-0,wheat-MSCI_W-smth,wheat-MSCI_EM-0,wheat-MSCI_EM-smth,crude-SPX-0,crude-SPX-smth,crude-MSCI_W-0,crude-MSCI_W-smth,crude-MSCI_EM-0,crude-MSCI_EM-smth,rubber-SPX-0,rubber-SPX-smth,rubber-MSCI_W-0,rubber-MSCI_W-smth,rubber-MSCI_EM-0,rubber-MSCI_EM-smth,palladium-SPX-0,palladium-SPX-smth,palladium-MSCI_W-0,palladium-MSCI_W-smth,palladium-MSCI_EM-0,palladium-MSCI_EM-smth,gas-SPX-0,gas-SPX-smth,gas-MSCI_W-0,gas-MSCI_W-smth,gas-MSCI_EM-0,gas-MSCI_EM-smth,GSCI-SPX-0,GSCI-SPX-smth,GSCI-MSCI_W-0,GSCI-MSCI_W-smth,GSCI-MSCI_EM-0,GSCI-MSCI_EM-smth,hog-SPX-0,hog-SPX-smth,hog-MSCI_W-0,hog-MSCI_W-smth,hog-MSCI_EM-0,hog-MSCI_EM-smth,oats-SPX-0,oats-SPX-smth,oats-MSCI_W-0,oats-MSCI_W-smth,oats-MSCI_EM-0,oats-MSCI_EM-smth,DJCI-SPX-0,DJCI-SPX-smth,DJCI-MSCI_W-0,DJCI-MSCI_W-smth,DJCI-MSCI_EM-0,DJCI-MSCI_EM-smth,GSECI-SPX-0,GSECI-SPX-smth,GSECI-MSCI_W-0,GSECI-MSCI_W-smth,GSECI-MSCI_EM-0,GSECI-MSCI_EM-smth,GSNECI-SPX-0,GSNECI-SPX-smth,GSNECI-MSCI_W-0,GSNECI-MSCI_W-smth,GSNECI-MSCI_EM-0,GSNECI-MSCI_EM-smth,GSECI-GSNECI
01/03/1986,,,,,,,-0.181904295,-0.308674818,-0.174223935,-0.106648754,,,0.284633037,0.088486379,0.272615266,0.038514569,,,-0.590377659,-0.344919828,-0.565450743,-0.323878909,,,0.281894912,-0.046510478,0.26999275,0.131209423,,,,,,,,,,,,,,,-0.531643594,-0.148106971,-0.509196547,-0.050186443,,,,,,,,,,,,,,,,,,,,,-0.473864582,-0.296516762,-0.453857079,-0.208064062,,,-0.363966034,0.175171674,-0.348598667,0.249030907,,,0.531757743
01/04/1986,,,,,,,-0.175965104,-0.314178524,-0.16624341,-0.103317924,,,-0.081428141,0.079970728,-0.07587348,0.026975573,,,-0.405324851,-0.334263347,-0.383422176,-0.311971655,,,-0.132063266,-0.060768104,-0.123569097,0.124368691,,,,,,,,,,,,,,,-0.438125396,-0.131455839,-0.414145321,-0.027561497,,,,,,,,,,,,,,,,,,,,,-0.682922073,-0.288817257,-0.644527552,-0.195948743,,,0.163790644,0.198578183,0.153214725,0.27848851,,,-0.394613431
01/05/1986,,,,,,,-0.113295679,-0.324985342,-0.174717696,-0.097700989,,,-0.024685764,0.092590402,-0.08397722,0.036156216,,,-0.327094992,-0.328707094,-0.392975037,-0.305593747,,,-0.149859992,-0.055193582,-0.120158452,0.146500431,,,,,,,,,,,,,,,-0.421729252,-0.107477544,-0.414197389,0.006946243,,,,,,,,,,,,,,,,,,,,,-0.631635936,-0.258002456,-0.648487502,-0.155907128,,,0.139804619,0.201298198,0.155926873,0.289670859,,,-0.419569425
01/06/1986,,,,,,,-0.094815568,-0.340839313,-0.165136537,-0.09138462,,,0.135658539,0.101373508,0.001097279,0.046008715,,,-0.278597869,-0.328827828,-0.368702257,-0.298427348,,,-0.157682299,-0.048103776,-0.125362556,0.168369916,,,,,,,,,,,,,,,-0.347983186,-0.083942444,-0.37765219,0.041485481,,,,,,,,,,,,,,,,,,,,,-0.610549248,-0.230020105,-0.640794675,-0.115509151,,,0.248973524,0.205903607,0.214320594,0.300639599,,,-0.190090315
01/07/1986,-0.234192307,0.246969903,-0.26067385,0.355464136,,,-0.066007106,-0.35841418,-0.118906433,-0.085752982,,,0.15818609,0.098924335,0.039227964,0.049438117,,,-0.353682047,-0.332416038,-0.445564601,-0.293061212,,,-0.073731916,-0.040275963,-0.018530782,0.190799096,,,-0.033920168,0.031974485,-0.037755726,0.449047534,,,,,,,,,-0.34131675,-0.06508052,-0.35594521,0.073490502,,,0.993447142,0.344280038,1.105782229,0.602215024,,,,,,,,,,,,,,,-0.599373263,-0.202836757,-0.605604605,-0.075398764,,,0.251911789,0.20282688,0.214218948,0.30723085,,,-0.196393625
01/08/1986,-0.012123848,0.254349083,-0.209124962,0.367378104,,,-0.183098833,-0.379116226,-0.151707534,-0.083131593,,,0.143314255,0.094728679,0.041191775,0.050245417,,,-0.548391671,-0.330910432,-0.507362781,-0.281003017,,,-0.087600611,-0.037907324,-0.025016074,0.207350469,,,-0.020253946,0.032985056,-0.036687778,0.458460617,,,,,,,,,-0.252987715,-0.04552335,-0.342338575,0.107445286,,,0.077693923,0.334324309,0.896195812,0.592477784,,,,,,,,,,,,,,,-0.412003715,-0.174762481,-0.573267707,-0.03347625,,,0.145768134,0.199351731,0.193701901,0.31458515,,,-0.239478736
01/09/1986,0.311838662,0.261479063,0.532684122,0.378751101,,,-0.08240572,-0.394360503,0.154653094,-0.078054744,,,0.138337627,0.090950177,0.026329214,0.050915681,,,-0.54389151,-0.313996911,-0.358655772,-0.264245036,,,0.035421974,-0.034042676,0.302505188,0.224553146,,,0.425643565,0.034409565,0.813072705,0.468228685,,,,,,,,,-0.128978558,-0.029388841,0.090327805,0.140743911,,,0.396512595,0.341190934,0.893134349,0.58648617,,,,,,,,,,,,,,,-0.263744831,-0.156312224,-0.005314397,0.006485864,,,0.219666212,0.203518929,0.331572165,0.32353444,,,0.079630581
01/10/1986,0.243088061,0.26003085,0.469970249,0.369461997,,,-0.315977117,-0.417712232,-0.023383464,-0.103636009,,,0.162797602,0.087402936,0.053772175,0.053618439,,,-0.460966251,-0.29678789,-0.324368157,-0.253866589,,,0.003488901,-0.039242531,0.258460671,0.215983981,,,0.344867165,0.023158672,0.722367006,0.447419037,,,,,,,,,0.012303322,-0.02193394,0.165041226,0.146286087,,,0.618509255,0.339600024,0.948574977,0.567981454,,,,,,,,,,,,,,,-0.155721661,-0.148270235,0.042349537,0.007783051,,,0.328318213,0.202310205,0.397114355,0.322650864,,,0.135184554
01/11/1986,0.200473021,0.260701352,0.367382237,0.362805789,,,-0.2719872,-0.425979619,0.059889001,-0.112331844,,,0.12937033,0.081276075,-0.013422805,0.053601781,,,-0.474725181,-0.283446124,-0.342484007,-0.24622733,,,0.07140835,-0.042715052,0.379860819,0.211381382,,,0.391637122,0.010427219,0.740195199,0.429210475,,,,,,,,,0.000447617,-0.024716192,0.131259358,0.144253858,,,0.603947513,0.328562331,0.858132703,0.542776464,,,,,,,,,,,,,,,-0.156506041,-0.147664703,0.034723248,0.004037569,,,0.311340668,0.192070309,0.345765822,0.314582307,,,0.135973096
01/12/1986,0.055694188,0.263044296,0.272229886,0.362492334,,,-0.326536805,-0.437681412,0.0090986,-0.130267574,,,0.142185034,0.077621421,0.000221777,0.060581975,,,-0.41531665,-0.268910942,-0.300068564,-0.236202795,,,0.062611622,-0.051387221,0.364735148,0.193835296,,,0.202431615,-0.004402238,0.610634324,0.407910152,,,,,,,,,0.019258176,-0.026628375,0.142210848,0.145607154,,,0.686724218,0.317849564,0.898282146,0.521176721,,,,,,,,,,,,,,,-0.11786358,-0.146992855,0.059394411,0.000841846,,,0.258297419,0.183007025,0.303843352,0.311334737,,,0.091420642
