date,lumber-SPX,lumber-SPX-smth,lumber-MSCI_W,lumber-MSCI_W-smth,lumber-MSCI_EM,lumber-MSCI_EM-smth,gold-SPX,gold-SPX-smth,gold-MSCI_W,gold-MSCI_W-smth,gold-MSCI_EM,gold-MSCI_EM-smth,wheat-SPX,wheat-SPX-smth,wheat-MSCI_W,wheat-MSCI_W-smth,wheat-MSCI_EM,wheat-MSCI_EM-smth,crude-SPX,crude-SPX-smth,crude-MSCI_W,crude-MSCI_W-smth,crude-MSCI_EM,crude-MSCI_EM-smth,rubber-SPX,rubber-SPX-smth,rubber-MSCI_W,rubber-MSCI_W-smth,rubber-MSCI_EM,rubber-MSCI_EM-smth,palladium-SPX,palladium-SPX-smth,palladium-MSCI_W,palladium-MSCI_W-smth,palladium-MSCI_EM,palladium-MSCI_EM-smth,gas-SPX,gas-SPX-smth,gas-MSCI_W,gas-MSCI_W-smth,gas-MSCI_EM,gas-MSCI_EM-smth,GSCI-SPX,GSCI-SPX-smth,GSCI-MSCI_W,GSCI-MSCI_W-smth,GSCI-MSCI_EM,GSCI-MSCI_EM-smth,hog-SPX,hog-SPX-smth,hog-MSCI_W,hog-MSCI_W-smth,hog-MSCI_EM,hog-MSCI_EM-smth,oats-SPX,oats-SPX-smth,oats-MSCI_W,oats-MSCI_W-smth,oats-MSCI_EM,oats-MSCI_EM-smth,DJCI-SPX,DJCI-SPX-smth,DJCI-MSCI_W,DJCI-MSCI_W-smth,DJCI-MSCI_EM,DJCI-MSCI_EM-smth,GSECI-SPX,GSECI-SPX-smth,GSECI-MSCI_W,GSECI-MSCI_W-smth,GSECI-MSCI_EM,GSECI-MSCI_EM-smth,GSNECI-SPX,GSNECI-SPX-smth,GSNECI-MSCI_W,GSNECI-MSCI_W-smth,GSNECI-MSCI_EM,GSNECI-MSCI_EM-smth,GSECI-GSNECI
01/03/1986,,,,,,,0.352336735,0.12612063,0.349450816,0.335076651,,,0.723431849,0.628623415,0.72749264,0.561124509,,,0.109325608,0.100385009,0.104669253,0.097915775,,,0.721519631,0.431516517,0.725555203,0.69987078,,,,,,,,,,,,,,,0.133986391,0.291382092,0.129134147,0.420569641,,,,,,,,,,,,,,,,,,,,,0.161734661,0.135703884,0.15681568,0.202994241,,,0.224115708,0.742069507,0.219482564,0.840031794,,,0.74988451
01/04/1986,,,,,,,0.311345551,0.115329017,0.309705676,0.334672506,,,0.409942731,0.619857775,0.410333607,0.544389652,,,0.128526533,0.101102624,0.125990918,0.0986153,,,0.355959496,0.408329313,0.355994207,0.696393891,,,,,,,,,,,,,,,0.110268399,0.307997266,0.107980376,0.4546503,,,,,,,,,,,,,,,,,,,,,0.028091643,0.135251212,0.027073893,0.208992822,,,0.676522805,0.775661592,0.676437215,0.875151369,,,0.233753154
01/05/1986,,,,,,,0.378261246,0.108142104,0.308412606,0.343198399,,,0.473069426,0.6376851,0.404973979,0.559387185,,,0.185354951,0.105534874,0.130210167,0.103318445,,,0.340861053,0.416835948,0.365382292,0.727547877,,,,,,,,,,,,,,,0.124224419,0.341299562,0.117776683,0.511450215,,,,,,,,,,,,,,,,,,,,,0.041943375,0.163143561,0.031646161,0.259694749,,,0.648990429,0.778125459,0.672397076,0.884359558,,,0.221283344
01/06/1986,,,,,,,0.399972676,0.097329177,0.324078286,0.351852237,,,0.641540925,0.650153296,0.501209643,0.57592488,,,0.228250422,0.105427772,0.154139175,0.10711916,,,0.336715241,0.427383809,0.364514869,0.758261764,,,,,,,,,,,,,,,0.176167344,0.374708663,0.148341558,0.568538422,,,,,,,,,,,,,,,,,,,,,0.051356345,0.190720297,0.038303734,0.315355589,,,0.747116317,0.783327299,0.723153633,0.894569639,,,0.315939709
01/07/1986,0.385899712,0.771083464,0.358495861,0.889400109,,,0.430291571,0.085546519,0.369056156,0.35868766,,,0.663086677,0.647198878,0.543916452,0.582651544,,,0.173332394,0.102145784,0.105123322,0.108037942,,,0.422232257,0.438881943,0.479221762,0.789698405,,,0.483246767,0.538286951,0.479064534,0.938877047,,,,,,,,,0.181892469,0.401863218,0.158440995,0.621798652,,,0.89070338,0.849652725,0.937933469,0.980892775,,,,,,,,,,,,,,,0.055376909,0.219292097,0.044292869,0.375142718,,,0.748662766,0.780696755,0.726534194,0.90265707,,,0.315181041
01/08/1986,0.492088848,0.784938764,0.384483608,0.906479159,,,0.304811108,0.072874054,0.339883999,0.360958158,,,0.655298156,0.641878882,0.544619358,0.585158515,,,0.063093179,0.102087964,0.083719595,0.11448503,,,0.403501467,0.442175809,0.472866539,0.812648535,,,0.486785282,0.540748067,0.479451697,0.950168534,,,,,,,,,0.240245256,0.430666072,0.175806253,0.677238096,,,0.550564639,0.850146633,0.895939717,0.983322822,,,,,,,,,,,,,,,0.125284962,0.251242476,0.059403667,0.44301997,,,0.657815177,0.777845451,0.700917738,0.910975473,,,0.280896616
01/09/1986,0.701533694,0.79667423,0.904656816,0.923241767,,,0.410810407,0.065391933,0.695940383,0.3663096,,,0.647466562,0.636260711,0.534781808,0.588176425,,,0.068365037,0.114468881,0.117192108,0.12371927,,,0.538602649,0.448110453,0.842062546,0.837162571,,,0.764793522,0.543477407,0.97710547,0.961166992,,,,,,,,,0.362087933,0.455171757,0.617715487,0.731063393,,,0.749337668,0.860543677,0.985882511,0.986447869,,,,,,,,,,,,,,,0.235269644,0.274612955,0.492970943,0.511323832,,,0.726081152,0.782244534,0.864190952,0.9216271,,,0.58132364
01/10/1986,0.685659204,0.800816104,0.88675233,0.920854762,,,0.183860592,0.054524511,0.469322747,0.326608928,,,0.678706261,0.631303074,0.570247497,0.59190717,,,0.094411663,0.127439929,0.142819495,0.135536332,,,0.503967713,0.44016641,0.80255608,0.825456593,,,0.753661098,0.529978483,0.968483724,0.956231423,,,,,,,,,0.513989175,0.466470238,0.706529313,0.737024391,,,0.890730349,0.864979515,0.992678548,0.984955619,,,,,,,,,,,,,,,0.328552791,0.284741312,0.555434502,0.513458597,,,0.825345558,0.781163535,0.904427491,0.919063259,,,0.641367882
01/11/1986,0.653726081,0.804897042,0.831845381,0.919021949,,,0.226698212,0.051965189,0.576626118,0.314844219,,,0.639313545,0.621816437,0.482724357,0.590983865,,,0.095328873,0.139626715,0.134527597,0.145281095,,,0.578025784,0.43523716,0.889874478,0.817880882,,,0.780072872,0.513707754,0.97363829,0.950986599,,,,,,,,,0.500492259,0.462415948,0.664068021,0.732102841,,,0.883209796,0.860575054,0.987642741,0.981792525,,,,,,,,,,,,,,,0.333078847,0.286485967,0.544610693,0.506913555,,,0.804622004,0.768278531,0.867752932,0.911538719,,,0.638546013
01/12/1986,0.544321226,0.81107947,0.759020516,0.920643025,,,0.188601222,0.047464013,0.511299665,0.289511681,,,0.649701596,0.616446618,0.500275465,0.601804139,,,0.130686382,0.152441284,0.17508946,0.157209761,,,0.567228455,0.422279284,0.871933211,0.795469693,,,0.657128133,0.494112255,0.942629379,0.943630293,,,,,,,,,0.520767694,0.459537282,0.671031575,0.732418304,,,0.915074675,0.856702522,0.989835375,0.978637706,,,,,,,,,,,,,,,0.374961167,0.287451446,0.573354228,0.501430379,,,0.757574264,0.757491479,0.82792439,0.907576843,,,0.59346576
01/01/1987,0.602266271,0.822826303,0.782427808,0.926452713,,,0.162240576,0.044106322,0.467460449,0.270586767,,,0.731304133,0.609796509,0.57636004,0.611156364,,,0.084708597,0.161712587,0.13172568,0.164153248,,,0.515330366,0.409666511,0.837207962,0.774388751,,,0.636620913,0.482756278,0.93148379,0.939627755,,,,,,,,,0.54148631,0.454354076,0.678064996,0.732442431,,,0.947904824,0.849590408,0.992593228,0.974502152,,,,,,,,,,,,,,,0.276341159,0.284240832,0.481221288,0.491804824,,,0.819653018,0.751371759,0.861664888,0.90761845,,,0.189330403
01/02/1987,0.766343885,0.832703341,0.936915428,0.931858234,,,0.155862676,0.041366213,0.402150619,0.255080707,,,0.800553853,0.593866646,0.763685787,0.611997771,,,0.068919071,0.177895794,0.090402536,0.176837093,,,0.480100375,0.401398753,0.738322022,0.757828179,,,0.656513139,0.472037321,0.910391629,0.936820346,,,,,,,,,0.650701203,0.446707691,0.840773197,0.732381459,,,0.957810791,0.837738288,0.99061559,0.968934803,,,,,,,,,,,,,,,0.350818283,0.289933608,0.629914444,0.493425656,,,0.855456613,0.738229117,0.908526638,0.905435014,,,0.265013889
01/03/1987,0.826357955,0.834877141,0.937795956,0.92430202,,,0.170465011,0.038648091,0.407112113,0.246292445,,,0.767770259,0.567546316,0.745529676,0.583827229,,,0.085010706,0.199313949,0.103805823,0.20350667,,,0.397249626,0.395890415,0.704059463,0.750682175,,,0.506057502,0.4585925,0.881157034,0.932994251,,,,,,,,,0.430859142,0.427112443,0.780097311,0.705406903,,,0.853165258,0.821856176,0.981466902,0.959542752,,,,,,,,,,,,,,,0.215639139,0.288590192,0.570414382,0.474474199,,,0.821818324,0.71888203,0.892057922,0.894721977,,,0.33503473
01/04/1987,0.790090925,0.833228547,0.896857181,0.916240281,,,0.210752376,0.035244007,0.495577202,0.236162858,,,0.765026196,0.543322955,0.742697426,0.55742326,,,0.088796715,0.220501356,0.109552929,0.229612742,,,0.429790776,0.398116352,0.737751099,0.748148158,,,0.561674364,0.455380441,0.909599686,0.931832051,,,,,,,,,0.507489902,0.428404699,0.856979801,0.687352988,,,0.877421124,0.817010388,0.985776412,0.951022745,,,,,,,,,,,,,,,0.272524151,0.301147537,0.672636739,0.462848244,,,0.816349161,0.702300757,0.88122964,0.885904176,,,0.36050006
01/05/1987,0.795920887,0.834581558,0.883433683,0.912089761,,,0.089032597,0.030453583,0.578573136,0.216765059,,,0.735201385,0.517776589,0.739246587,0.529547952,,,0.086780242,0.243005437,0.126845182,0.257709079,,,0.342420717,0.396938551,0.755445663,0.741631216,,,0.403133067,0.447518322,0.92087975,0.928387432,,,,,,,,,0.456478777,0.421926289,0.855972726,0.654079972,,,0.85360451,0.80991061,0.982920434,0.939076133,,,,,,,,,,,,,,,0.319363324,0.307773984,0.651548225,0.436778108,,,0.668718834,0.685430138,0.898794407,0.877802962,,,0.297256179
01/06/1987,0.806933016,0.835926089,0.876891352,0.909565188,,,0.110705446,0.029114819,0.579132359,0.189505504,,,0.78111146,0.493626324,0.738544197,0.500687381,,,0.081969502,0.268935096,0.13415111,0.284616201,,,0.363258226,0.404494968,0.748259394,0.733205376,,,0.449669523,0.451469945,0.915544626,0.92415312,,,,,,,,,0.427486276,0.419823531,0.843361935,0.61848776,,,0.807649517,0.804507566,0.978626716,0.92591996,,,,,,,,,,,,,,,0.299598747,0.30981919,0.641784131,0.41218532,,,0.659654688,0.683995156,0.889119143,0.867277687,,,0.308464249
01/07/1987,0.828323609,0.837278493,0.865729994,0.908304762,,,0.120827662,0.026500193,0.575625949,0.162008737,,,0.723300756,0.461291457,0.738761898,0.470144538,,,0.105598355,0.299057234,0.14006304,0.312239926,,,0.479307977,0.410197607,0.725293099,0.725917479,,,0.446940446,0.451803278,0.908648474,0.920862846,,,,,,,,,0.456206094,0.420209208,0.831452196,0.582614459,,,0.796646052,0.803340678,0.975136539,0.912147877,,,,,,,,,,,,,,,0.329610299,0.313482029,0.632729127,0.387284566,,,0.651047032,0.683935198,0.880461749,0.857960508,,,0.311125086
01/08/1987,0.820047244,0.838070464,0.860285357,0.908920063,,,0.136081941,0.023060323,0.555209743,0.134634954,,,0.718013475,0.43338074,0.730373189,0.437295597,,,0.102453238,0.327569154,0.164328522,0.34112085,,,0.468813902,0.404050904,0.728789625,0.721780676,,,0.465152248,0.452208775,0.893001107,0.918908284,,,,,,,,,0.463117022,0.417315297,0.81803696,0.545918053,,,0.790061324,0.803947399,0.971459141,0.897601713,,,,,,,,,,,,,,,0.344693925,0.313600055,0.615404722,0.361530232,,,0.63406943,0.685524058,0.879744228,0.849942793,,,0.288872704
01/09/1987,0.923114309,0.841003013,0.937430816,0.911217762,,,0.079812332,0.018753429,0.389301618,0.108460113,,,0.81656908,0.403006015,0.8234811,0.402639319,,,0.076263594,0.360117846,0.123095944,0.368349088,,,0.774756331,0.39774486,0.913845136,0.717941971,,,0.334543564,0.450795543,0.786110728,0.919355192,,,,,,,,,0.326439857,0.412889393,0.676341359,0.508004852,,,0.778038507,0.806521904,0.959961875,0.88233767,,,,,,,,,,,,,,,0.219896045,0.311130335,0.444046987,0.33525368,,,0.720046371,0.690033045,0.907879154,0.842368873,,,0.220930864
