date,GSCI,BCI
01/12/2021,32830000,4790000
01/11/2021,38990000,3860000
01/10/2021,27590000,4100000
01/09/2021,24800000,5560000
01/08/2021,29330000,5260000
01/07/2021,37010000,6320000
01/06/2021,38970000,3250000
01/05/2021,25480000,3640000
01/04/2021,36130000,5710000
01/03/2021,30070000,4510000
01/02/2021,18490000,3410000
01/01/2021,15300000,5000000
01/12/2020,9130000,4010000
01/11/2020,7990000,3170000
01/10/2020,9140000,3640000
01/09/2020,8630000,7350000
01/08/2020,16440000,5050000
01/07/2020,8280000,4950000
01/06/2020,9510000,3550000
01/05/2020,16240000,5570000
01/04/2020,29210000,12450000
01/03/2020,12880000,6770000
01/02/2020,8910000,4770000
01/01/2020,9030000,6980000
01/12/2019,3930000,4800000
01/11/2019,4530000,5430000
01/10/2019,15280000,6330000
01/09/2019,13570000,8770000
01/08/2019,6480000,4690000
01/07/2019,18450000,4480000
01/06/2019,13970000,3320000
01/05/2019,17570000,3540000
01/04/2019,10250000,5220000
01/03/2019,12410000,10280000
01/02/2019,21910000,10350000
01/01/2019,19590000,18210000
01/12/2018,26210000,12540000
01/11/2018,13930000,6170000
01/10/2018,4590000,5560000
01/09/2018,8360000,9770000
01/08/2018,7010000,15430000
01/07/2018,9340000,8260000
01/06/2018,11360000,4400000
01/05/2018,14820000,6010000
01/04/2018,8820000,5730000
01/03/2018,20190000,13630000
01/02/2018,9090000,11810000
01/01/2018,5310000,9840000
01/12/2017,7490000,4150000
01/11/2017,4540000,4550000
01/10/2017,5350000,5250000
01/09/2017,3010000,5260000
01/08/2017,4470000,5730000
01/07/2017,18320000,5970000
01/06/2017,5650000,8990000
01/05/2017,10440000,7490000
01/04/2017,8540000,7720000
01/03/2017,9270000,4790000
01/02/2017,7250000,8950000
01/01/2017,7080000,10630000
01/12/2016,5200000,5260000
01/11/2016,4220000,6940000
01/10/2016,3560000,7630000
01/09/2016,11580000,6770000
01/08/2016,15440000,7600000
01/07/2016,8190000,8150000
01/06/2016,7150000,6750000
01/05/2016,10600000,5020000
01/04/2016,19580000,9460000
01/03/2016,6330000,19300000
01/02/2016,10000000,16720000
01/01/2016,17020000,31070000
01/12/2015,5360000,11700000
01/11/2015,4470000,10050000
01/10/2015,3940000,14580000
01/09/2015,6890000,15540000
01/08/2015,5470000,7340000
01/07/2015,3670000,9460000
01/06/2015,5150000,5520000
01/05/2015,4100000,12550000
01/04/2015,4940000,9060000
01/03/2015,5770000,10890000
01/02/2015,9610000,25060000
01/01/2015,17660000,45740000
01/12/2014,5860000,8550000
01/11/2014,4410000,7890000
01/10/2014,3720000,7020000
01/09/2014,6190000,5270000
01/08/2014,9180000,5730000
01/07/2014,9660000,5560000
01/06/2014,10400000,4780000
01/05/2014,3130000,5730000
01/04/2014,3990000,5670000
01/03/2014,3360000,13000000
01/02/2014,10230000,15610000
01/01/2014,4410000,23090000
01/12/2013,3650000,7910000
01/11/2013,7570000,7020000
01/10/2013,11650000,9690000
01/09/2013,3610000,5740000
01/08/2013,5770000,5700000
01/07/2013,4270000,7580000
01/06/2013,4220000,6640000
01/05/2013,4980000,6950000
01/04/2013,4610000,6460000
01/03/2013,4780000,6980000
01/02/2013,4130000,7780000
01/01/2013,6150000,8160000
01/12/2012,2910000,4840000
01/11/2012,4250000,4050000
01/10/2012,6930000,3910000
01/09/2012,3650000,6040000
01/08/2012,2970000,8090000
01/07/2012,5210000,5950000
01/06/2012,5710000,9310000
01/05/2012,4230000,5330000
01/04/2012,5150000,5920000
01/03/2012,5500000,12900000
01/02/2012,4980000,7800000
01/01/2012,6160000,14910000
01/12/2011,5660000,5260000
01/11/2011,5400000,7950000
01/10/2011,5450000,7630000
01/09/2011,11220000,9460000
01/08/2011,6590000,7520000
01/07/2011,9560000,7390000
01/06/2011,11900000,10740000
01/05/2011,9130000,7370000
01/04/2011,14430000,10420000
01/03/2011,16930000,9560000
01/02/2011,9280000,9650000
01/01/2011,12090000,10230000
01/12/2010,9940000,9860000
01/11/2010,10230000,6410000
01/10/2010,7560000,6590000
01/09/2010,9050000,7450000
01/08/2010,6300000,4420000
01/07/2010,8050000,6430000
01/06/2010,11420000,10700000
01/05/2010,5960000,6450000
01/04/2010,10130000,7740000
01/03/2010,6460000,7680000
01/02/2010,11500000,9830000
01/01/2010,8680000,9280000
01/12/2009,8330000,8910000
01/11/2009,19960000,9320000
01/10/2009,9670000,8690000
01/09/2009,10560000,9500000
01/08/2009,10750000,7750000
01/07/2009,20800000,8620000
01/06/2009,12390000,8280000
01/05/2009,10750000,8540000
01/04/2009,9580000,10860000
01/03/2009,8060000,11000000
01/02/2009,6880000,19910000
01/01/2009,9270000,19500000
01/12/2008,4890000,10080000
01/11/2008,6130000,14090000
01/10/2008,7250000,11680000
01/09/2008,6210000,9930000
01/08/2008,8420000,10160000
01/07/2008,5530000,7080000
01/06/2008,3980000,6930000
01/05/2008,5050000,7060000
01/04/2008,6620000,8500000
01/03/2008,4520000,6390000
01/02/2008,4470000,4900000
01/01/2008,2100000,3590000
01/12/2007,2530000,
01/11/2007,2250000,
01/10/2007,1610000,
01/09/2007,1990000,
01/08/2007,2570000,
01/07/2007,2600000,
01/06/2007,2150000,
01/05/2007,3000000,
01/04/2007,2210000,
01/03/2007,2760000,
01/02/2007,3760000,
01/01/2007,3570000,
01/12/2006,3210000,
01/11/2006,1970000,
01/10/2006,2290000,
01/09/2006,2070000,
01/08/2006,469600,
