date,spot,contract_1,tb3m
01/11/2021,79.15,79.18,0.0005
01/10/2021,81.08,80.82,0.0005
01/09/2021,70.71,70.61,0.0004
01/08/2021,66.63,66.64,0.0005
01/07/2021,71.20,71.14,0.0005
01/06/2021,69.77,69.75,0.0004
01/05/2021,63.12,63.11,0.0002
01/04/2021,59.30,59.28,0.0002
01/03/2021,59.40,59.43,0.0003
01/02/2021,55.87,55.89,0.0004
01/01/2021,48.94,49.03,0.0008
01/12/2020,44.06,44.11,0.0009
01/11/2020,38.33,38.51,0.0009
01/10/2020,36.91,37.06,0.001
01/09/2020,37.11,37.11,0.0011
01/08/2020,39.59,39.64,0.001
01/07/2020,37.95,38.01,0.0013
01/06/2020,35.53,35.53,0.0016
01/05/2020,26.35,26.32,0.0013
01/04/2020,15.27,15.40,0.0014
01/03/2020,27.13,28.28,0.0029
01/02/2020,47.04,47.04,0.0152
01/01/2020,53.39,53.40,0.0152
01/12/2019,55.36,55.34,0.0154
01/11/2019,52.77,52.86,0.0154
01/10/2019,49.96,50.01,0.0165
01/09/2019,52.61,52.54,0.0189
01/08/2019,50.59,50.62,0.0195
01/07/2019,52.94,53.11,0.021
01/06/2019,50.37,50.42,0.0217
01/05/2019,56.05,55.99,0.0235
01/04/2019,58.71,58.73,0.0238
01/03/2019,53.18,53.20,0.024
01/02/2019,49.97,50.03,0.0239
01/01/2019,46.53,46.53,0.0237
01/12/2018,44.76,44.00,0.0237
01/11/2018,51.65,51.32,0.0233
01/10/2018,64.37,64.38,0.0225
01/09/2018,63.78,63.64,0.0213
01/08/2018,61.74,61.55,0.0203
01/07/2018,64.36,64.14,0.0196
01/06/2018,61.53,61.03,0.019
01/05/2018,63.34,63.26,0.0186
01/04/2018,59.72,59.79,0.0176
01/03/2018,56.32,56.45,0.017
01/02/2018,55.75,55.68,0.0157
01/01/2018,56.81,56.67,0.0141
01/12/2017,51.34,51.40,0.0132
01/11/2017,50.27,50.18,0.0123
01/10/2017,45.77,45.87,0.0107
01/09/2017,44.24,44.29,0.0103
01/08/2017,42.44,42.45,0.0101
01/07/2017,41.07,41.11,0.0107
01/06/2017,39.82,39.83,0.0098
01/05/2017,42.69,42.74,0.0089
01/04/2017,44.92,44.97,0.008
01/03/2017,43.27,43.57,0.0074
01/02/2017,46.86,46.85,0.0052
01/01/2017,45.87,45.96,0.0051
01/12/2016,45.14,45.32,0.0051
01/11/2016,39.65,39.83,0.0045
01/10/2016,43.29,43.37,0.0033
01/09/2016,39.24,39.29,0.0029
01/08/2016,38.75,38.82,0.003
01/07/2016,38.65,38.78,0.003
01/06/2016,42.28,42.35,0.0027
01/05/2016,40.37,40.45,0.0027
01/04/2016,35.08,35.41,0.0023
01/03/2016,32.17,32.52,0.0029
01/02/2016,25.87,26.12,0.0031
01/01/2016,27.00,27.09,0.0026
01/12/2015,31.65,31.77,0.0023
01/11/2015,36.24,36.65,0.0012
01/10/2015,39.55,39.58,0.0002
01/09/2015,38.93,38.93,0.0002
01/08/2015,36.76,36.77,0.0007
01/07/2015,43.70,43.73,0.0003
01/06/2015,51.36,51.37,0.0002
01/05/2015,50.71,50.80,0.0002
01/04/2015,46.35,46.50,0.0002
01/03/2015,40.62,40.65,0.0003
01/02/2015,42.71,42.84,0.0002
01/01/2015,39.70,39.80,0.0003
01/12/2014,50.09,50.09,0.0003
01/11/2014,64.39,64.41,0.0002
01/10/2014,72.10,72.05,0.0002
01/09/2014,79.82,79.67,0.0002
01/08/2014,82.61,82.22,0.0003
01/07/2014,88.79,87.77,0.0003
01/06/2014,90.72,90.17,0.0004
01/05/2014,87.46,87.13,0.0003
01/04/2014,87.06,87.03,0.0003
01/03/2014,85.69,85.45,0.0005
01/02/2014,85.16,85.04,0.0005
01/01/2014,79.63,79.83,0.0004
01/12/2013,81.86,82.08,0.0007
01/11/2013,78.70,78.76,0.0007
01/10/2013,84.48,84.49,0.0005
01/09/2013,89.54,89.50,0.0002
01/08/2013,89.67,89.65,0.0004
01/07/2013,87.97,87.99,0.0004
01/06/2013,80.46,80.48,0.0005
01/05/2013,79.21,79.45,0.0004
01/04/2013,76.98,77.03,0.0006
01/03/2013,77.83,77.85,0.0009
01/02/2013,79.61,79.62,0.001
01/01/2013,78.51,78.57,0.0007
01/12/2012,72.58,72.90,0.0007
01/11/2012,71.67,71.84,0.0009
01/10/2012,74.48,74.54,0.001
01/09/2012,78.68,78.73,0.0011
01/08/2012,78.02,78.05,0.001
01/07/2012,72.45,72.48,0.001
01/06/2012,67.95,68.04,0.0009
01/05/2012,78.27,78.32,0.0009
01/04/2012,85.53,85.55,0.0008
01/03/2012,87.61,87.66,0.0008
01/02/2012,83.71,83.76,0.0009
01/01/2012,81.77,81.81,0.0003
01/12/2011,80.02,80.04,0.0001
01/11/2011,79.08,79.08,0.0001
01/10/2011,70.32,70.41,0.0002
01/09/2011,69.81,69.88,0.0001
01/08/2011,70.36,70.37,0.0002
01/07/2011,79.09,79.12,0.0004
